Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts
D,1,Cédric,4.5,4.5,Arsenal,8,0.99,7,0.97,7,1.09,9,1.06,10,1.0
G,2,Leno,4.5,4.5,Fulham,79,3.87,83,3.91,86,4.2,85,4.23,83,4.21
M,3,Xhaka,5.0,5.0,Arsenal,78,2.79,75,2.7,73,2.91,72,2.87,70,2.62
M,4,Elneny,4.5,4.5,Arsenal,13,1.06,16,1.06,15,1.14,16,1.14,12,1.08
D,5,Holding,4.5,4.5,Arsenal,9,0.98,9,0.95,9,1.02,7,1.0,7,0.93
M,6,Partey,5.0,5.0,Arsenal,79,3.05,76,3.17,75,3.5,72,3.36,72,3.04
M,7,Ødegaard,6.5,6.5,Arsenal,77,3.58,75,3.72,73,3.93,73,3.91,71,3.53
D,8,Tierney,5.0,5.0,Arsenal,7,0.99,16,1.06,24,1.17,34,1.3,45,1.28
M,9,Pépé,5.5,5.5,Arsenal,14,1.35,15,1.62,17,1.94,15,1.83,16,1.54
D,10,White,4.5,4.5,Arsenal,84,3.56,79,3.64,72,4.07,70,3.98,64,2.88
F,11,Nketiah,7.0,7.0,Arsenal,31,1.92,33,2.04,36,2.31,36,2.34,31,1.88
M,12,Smith Rowe,6.0,6.0,Arsenal,0,-0.05,3,1.47,6,1.6,13,1.56,16,1.39
M,13,Saka,8.0,8.0,Arsenal,78,4.53,76,5.45,74,5.42,74,5.42,74,4.92
D,14,Tomiyasu,4.5,4.5,Arsenal,19,1.11,39,1.19,52,1.71,61,3.04,65,2.99
G,15,Ramsdale,5.0,5.0,Arsenal,89,3.92,88,4.01,87,4.21,87,4.21,86,4.29
D,16,Gabriel,5.0,5.0,Arsenal,83,3.79,78,4.02,77,4.27,74,4.21,74,3.88
D,17,Tavares,4.5,4.5,Arsenal,0,-0.09,0,-0.09,0,-0.09,0,-0.09,0,-0.09
M,18,Sambi,4.5,4.5,Arsenal,13,1.18,13,1.11,12,1.25,10,1.21,9,1.02
M,19,Martinelli,6.0,6.0,Arsenal,68,4.1,66,3.87,60,3.27,56,2.91,57,2.7
D,20,Pablo Marí,4.5,4.5,Arsenal,0,-0.1,1,0.91,1,0.92,0,-0.1,1,0.91
M,21,Maitland-Niles,5.0,5.0,Arsenal,2,0.87,2,0.87,2,0.88,2,0.88,3,0.89
M,22,Torreira,4.5,4.5,Arsenal,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
M,23,Nelson,5.0,5.0,Arsenal,3,1.31,2,0.98,1,1.06,2,1.1,2,0.96
G,24,Turner,4.0,4.0,Arsenal,1,0.0,2,0.0,3,0.0,3,0.0,3,0.0
M,25,Fábio Vieira,6.0,6.0,Arsenal,7,0.0,9,0.0,13,0.0,17,0.0,20,0.0
D,26,Saliba,4.5,4.5,Arsenal,68,3.17,58,2.05,53,1.7,51,1.54,51,1.42
M,27,Marquinhos,5.0,5.0,Arsenal,1,0.0,0,0.0,1,0.0,1,0.0,1,0.0
F,28,Jesus,8.0,8.0,Arsenal,79,4.07,78,4.53,77,4.71,76,4.71,74,4.11
M,29,Coutinho,7.0,7.0,Aston Villa,67,4.0,66,3.58,66,3.1,65,3.05,64,2.57
F,30,Ings,7.0,7.0,Aston Villa,33,1.72,33,1.57,34,1.65,32,1.6,36,1.58
G,31,Martínez,5.0,5.0,Aston Villa,89,4.16,88,3.98,88,3.88,87,3.73,87,3.34
D,32,Chambers,4.5,4.5,Aston Villa,10,0.93,14,0.91,16,0.88,19,0.9,18,0.98
D,33,Digne,5.0,5.0,Aston Villa,82,4.33,79,3.95,79,3.75,77,3.52,72,2.67
M,34,Traoré,5.0,5.0,Aston Villa,7,1.35,8,1.17,10,1.15,10,1.17,11,1.24
G,35,Olsen,4.0,4.0,Aston Villa,1,1.26,1,1.25,2,1.25,2,1.43,2,1.65
M,36,Sanson,4.5,4.5,Aston Villa,4,0.6,5,0.61,8,0.61,9,0.62,8,0.65
M,37,McGinn,5.5,5.5,Aston Villa,79,3.37,77,3.21,72,2.72,73,2.87,72,2.58
D,38,Hause,4.5,4.5,Aston Villa,2,0.84,3,0.85,4,0.85,6,0.88,6,0.91
D,39,Mings,4.5,4.5,Aston Villa,36,1.27,40,1.12,39,1.09,37,1.1,40,1.09
F,40,Watkins,7.5,7.5,Aston Villa,83,4.53,80,4.11,77,3.74,78,3.91,76,3.62
