Pos,ID,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,283,Salah,12.8,12.8,Liverpool,83,6.603,79,5.967,78,12.401,76,5.977,76,5.93,76,5.78,74,5.852
F,318,Haaland,12.2,12.2,Man City,0,0.0,72,5.217,73,12.224,71,6.441,70,6.315,71,10.348,70,5.931
M,124,Mitoma,5.7,5.6,Brighton,0,0.0,80,5.314,79,10.169,79,5.615,78,8.34,76,9.385,76,4.795
M,333,Fernandes,9.5,9.5,Man Utd,0,0.0,83,4.633,82,9.052,81,4.829,81,5.372,79,9.978,77,5.197
M,116,Mac Allister,5.5,5.4,Brighton,0,0.0,78,4.658,78,8.737,74,4.619,75,6.99,74,8.126,75,3.921
D,285,Alexander-Arnold,7.4,7.3,Liverpool,85,5.558,82,4.284,79,9.317,80,4.423,79,4.261,76,4.336,77,4.78
M,107,March,5.2,5.2,Brighton,0,0.0,82,4.59,78,8.67,78,4.808,76,6.805,76,7.996,75,3.923
D,586,Estupiñán,4.8,4.8,Brighton,0,0.0,81,4.769,78,8.65,77,5.1,76,5.747,76,7.885,77,3.692
D,357,Trippier,6.2,6.0,Newcastle,86,4.522,82,4.693,81,5.601,79,3.767,79,7.802,78,5.11,78,4.023
G,102,Steele,3.9,3.9,Brighton,0,0.0,86,4.442,85,8.378,83,4.801,83,6.219,83,7.864,84,3.719
D,284,Robertson,6.8,6.8,Liverpool,80,5.317,78,4.087,76,8.807,74,3.995,73,3.768,73,3.905,72,4.21
M,301,De Bruyne,12.1,12.1,Man City,0,0.0,69,4.462,67,9.336,67,4.618,63,4.359,64,7.22,62,3.723
F,427,Kane,11.7,11.7,Spurs,86,4.231,82,4.935,80,4.34,79,5.161,79,4.804,79,5.18,76,4.919
G,281,Alisson,5.4,5.4,Liverpool,89,4.765,88,3.812,87,8.243,87,3.934,87,3.766,87,3.998,88,4.198
M,13,Saka,8.6,8.6,Arsenal,81,5.435,79,3.908,78,4.838,78,4.16,76,4.285,73,4.801,73,4.838
G,307,Ederson,5.4,5.4,Man City,0,0.0,88,3.413,87,8.635,86,4.414,87,4.324,87,7.328,86,3.58
D,280,Van Dijk,6.6,6.6,Liverpool,87,4.809,82,3.612,81,7.996,79,3.72,79,3.572,79,3.793,80,4.086
D,106,Dunk,4.7,4.7,Brighton,0,0.0,86,4.088,84,7.556,84,4.466,83,5.172,81,6.917,81,3.169
M,104,Groß,5.4,5.4,Brighton,0,0.0,77,3.936,75,7.254,76,4.117,74,6.007,71,6.58,69,3.134
F,40,Watkins,7.7,7.5,Aston Villa,86,4.531,83,4.726,82,4.322,81,4.65,78,4.557,79,3.927,82,4.026
M,7,Ødegaard,6.7,6.7,Arsenal,83,4.991,79,3.728,79,4.444,78,3.947,78,3.97,78,4.749,78,4.8
G,376,Pope,5.4,5.4,Newcastle,89,3.822,88,3.984,88,4.644,87,3.376,87,6.754,86,4.284,86,3.602
M,465,Bowen,8.0,8.0,West Ham,82,4.297,77,3.665,75,7.145,74,3.625,74,3.712,73,3.937,74,3.85
D,332,Shaw,5.1,5.1,Man Utd,0,0.0,80,3.396,77,6.737,76,3.803,74,4.476,71,7.418,73,3.948
M,335,Rashford,7.1,6.9,Man Utd,0,0.0,20,1.465,51,4.082,76,4.743,75,4.823,76,9.505,73,4.404
G,455,Fabianski,4.9,4.9,West Ham,88,3.985,87,3.16,87,6.589,86,3.574,85,3.519,85,4.139,84,3.732
G,327,De Gea,5.0,5.0,Man Utd,0,0.0,88,3.118,88,6.47,88,3.5,86,4.215,86,7.454,86,3.888
F,594,Isak,6.7,6.7,Newcastle,69,3.97,67,3.653,68,4.093,66,3.487,64,6.243,65,3.728,64,3.18
D,290,Konaté,4.8,4.8,Liverpool,83,4.476,80,3.26,79,7.282,76,3.313,74,3.151,73,3.344,70,3.459
G,2,Leno,4.6,4.6,Fulham,89,3.86,86,3.438,85,5.677,86,3.978,85,3.98,83,4.076,84,3.11
M,261,Maddison,8.1,8.1,Leicester,84,4.551,81,4.312,80,4.489,78,4.198,75,3.323,75,3.271,74,3.828
D,559,Colwill,4.4,4.4,Brighton,0,0.0,74,3.941,71,6.94,70,4.101,69,4.572,66,5.623,67,2.757
M,19,Martinelli,6.9,6.9,Arsenal,74,5.114,73,3.698,73,4.365,69,3.761,67,3.271,65,3.727,62,3.454
D,366,Schär,5.1,5.1,Newcastle,84,3.542,82,3.734,78,4.486,76,2.838,74,5.816,75,3.863,73,2.921
G,81,Raya,4.9,4.9,Brentford,88,4.118,87,3.902,87,4.966,85,3.157,86,4.324,87,3.586,86,3.14
D,377,Botman,4.5,4.5,Newcastle,84,3.466,81,3.657,78,4.414,78,2.854,78,5.983,75,3.785,76,3.0
F,66,Solanke,5.5,5.5,Bournemouth,85,3.908,81,3.992,79,3.978,77,3.708,78,3.794,77,3.609,77,3.928
D,10,White,5.0,5.0,Arsenal,85,5.117,83,2.281,80,3.968,79,3.08,77,3.134,77,4.408,77,4.669
D,312,Dias,6.0,6.0,Man City,0,0.0,68,2.82,70,7.671,68,3.864,66,3.441,66,5.645,66,2.823
G,133,Arrizabalaga,4.7,4.7,Chelsea,0,0.0,76,4.137,72,3.109,72,4.077,71,4.883,71,6.209,69,3.662
G,15,Ramsdale,4.9,4.9,Arsenal,89,4.628,88,2.678,87,3.758,86,3.194,86,3.25,87,4.043,85,4.322
D,358,Burn,4.5,4.5,Newcastle,82,3.368,80,3.538,75,4.126,75,2.636,75,5.557,74,3.693,74,2.859
M,305,Grealish,7.2,7.2,Man City,0,0.0,66,3.004,64,6.801,62,3.226,63,3.502,63,5.79,64,3.119
D,461,Zouma,4.4,4.4,West Ham,85,3.779,79,2.654,77,5.549,76,3.063,74,3.033,75,3.793,75,3.296
M,171,Olise,5.5,5.5,Crystal Palace,77,4.3,75,3.956,72,3.634,69,3.324,68,3.664,64,2.927,65,3.347
M,346,Andreas,4.3,4.3,Fulham,79,4.503,78,3.338,72,5.328,74,3.396,73,3.308,72,3.199,72,2.875
G,425,Lloris,5.4,5.4,Spurs,89,3.207,88,3.441,86,2.987,86,4.211,86,3.581,85,3.812,85,3.769
M,315,Rodri,5.6,5.6,Man City,0,0.0,78,2.993,76,6.571,74,3.315,75,3.362,73,5.664,72,2.901
F,28,Jesus,8.2,8.2,Arsenal,69,3.922,70,3.224,70,3.609,71,3.32,69,3.242,69,3.877,68,3.578
D,16,Gabriel,5.3,5.3,Arsenal,87,4.881,82,2.084,79,3.769,78,2.883,78,2.943,72,3.885,75,4.327
M,428,Son,11.6,11.6,Spurs,72,3.459,69,3.546,69,3.358,68,3.735,67,3.295,69,3.757,67,3.568
M,374,Bruno Guimarães,5.5,5.5,Newcastle,85,3.162,80,3.299,77,3.472,77,3.014,76,5.602,76,3.38,75,2.784
G,574,Neto,4.5,4.5,Bournemouth,90,3.669,88,3.685,88,3.645,88,3.497,87,3.472,86,3.082,85,3.574
M,407,Ward-Prowse,6.3,6.3,Southampton,88,3.253,85,3.921,84,3.265,83,3.939,79,3.765,82,3.197,82,3.259
G,478,Sá,5.0,5.0,Wolves,89,3.498,88,4.103,88,2.915,87,3.797,86,3.064,87,4.267,87,2.919
D,167,Guéhi,4.4,4.4,Crystal Palace,87,3.684,83,3.423,82,3.566,78,2.551,79,3.86,79,3.085,78,4.295
G,31,Martínez,5.0,5.0,Aston Villa,89,3.431,88,4.14,86,3.097,87,3.99,87,3.606,86,2.827,85,3.235
D,170,Mitchell,4.4,4.4,Crystal Palace,81,3.848,77,3.535,74,3.571,73,2.56,73,3.783,69,2.957,70,4.028
D,165,Andersen,4.5,4.5,Crystal Palace,85,3.641,83,3.388,81,3.531,79,2.512,78,3.824,77,3.041,77,4.252
M,593,Casemiro,4.9,4.9,Man Utd,0,0.0,74,3.118,73,5.918,70,3.104,70,3.289,67,5.63,68,3.101
M,603,Paquetá,5.9,5.9,West Ham,71,3.566,69,2.982,68,5.696,65,2.646,67,2.873,67,3.109,68,3.194
D,156,Ward,4.4,4.4,Crystal Palace,83,3.585,82,3.331,79,3.459,76,2.421,73,3.591,73,2.834,74,4.025
M,614,Willian,5.5,5.5,Fulham,70,3.308,69,3.001,69,5.424,69,3.237,65,2.857,63,2.591,64,2.404
M,120,Caicedo,5.0,5.0,Brighton,0,0.0,78,2.816,77,5.333,67,2.54,75,4.504,72,4.957,73,2.434
D,39,Mings,4.6,4.6,Aston Villa,84,3.222,82,4.075,78,2.748,78,3.856,77,3.412,76,2.302,77,2.908
D,694,Álex Moreno,4.5,4.5,Aston Villa,78,3.425,76,4.206,74,2.763,73,3.751,71,3.254,71,2.317,71,2.808
M,467,Rice,4.7,4.7,West Ham,86,2.982,83,2.615,81,5.299,78,2.734,78,2.749,77,3.0,77,2.849
M,535,Tavernier,4.7,4.7,Bournemouth,72,3.627,71,3.732,67,3.212,65,2.791,67,2.991,66,2.731,66,3.123
G,182,Pickford,4.4,4.4,Everton,89,3.414,88,3.108,87,3.134,86,2.697,86,2.563,86,3.46,86,3.696
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,83,3.022,81,3.07,75,3.098,76,3.638,76,3.154,74,2.874,72,3.085
G,422,Bazunu,4.5,4.5,Southampton,89,2.596,87,3.72,87,2.805,85,3.602,84,3.509,85,2.711,85,2.831
D,258,Castagne,4.3,4.3,Leicester,85,4.259,83,3.18,80,3.928,74,2.996,72,2.186,70,2.302,67,2.871
M,468,Soucek,5.0,5.0,West Ham,73,2.91,70,2.536,73,5.242,72,2.659,70,2.635,69,2.854,69,2.7
D,92,Pinnock,4.4,4.4,Brentford,87,3.298,83,3.058,83,4.409,79,2.18,76,3.504,78,2.678,79,2.135
M,169,Eze,5.5,5.5,Crystal Palace,76,4.437,71,3.786,66,3.109,63,2.641,60,2.506,60,2.3,60,2.471
D,201,Ream,4.6,4.6,Fulham,87,3.141,84,2.575,81,3.493,80,3.198,80,3.283,80,3.353,79,2.147
M,680,Gakpo,7.6,7.6,Liverpool,68,3.74,66,3.089,60,5.272,59,2.343,58,2.342,55,2.148,54,2.252
F,394,Johnson,5.7,5.7,Nott'm Forest,85,2.88,82,2.923,79,3.165,77,3.39,74,2.989,74,2.791,74,3.045
M,534,McNeil,5.1,5.1,Everton,83,3.269,80,2.982,77,3.205,76,2.742,75,2.574,76,3.248,75,3.128
F,319,Álvarez,6.0,6.0,Man City,0,0.0,36,2.253,39,5.458,40,2.917,41,3.029,41,4.579,41,2.68
D,526,Mee,5.1,5.1,Brentford,87,3.23,85,2.997,83,4.346,82,2.059,82,3.571,81,2.63,80,2.007
D,272,W.Fofana,4.3,4.3,Chelsea,0,0.0,78,3.437,76,2.363,76,3.678,73,4.457,67,4.101,66,2.752
M,300,Gündogan,7.3,7.3,Man City,0,0.0,62,2.808,60,5.523,56,2.509,58,2.815,57,4.508,59,2.497
D,139,Chilwell,5.9,5.9,Chelsea,0,0.0,72,3.525,70,2.514,66,3.332,65,3.965,66,4.408,65,2.905
D,180,Keane,4.2,4.2,Everton,84,3.523,82,2.814,78,3.197,76,2.159,74,1.934,76,3.499,73,3.514
D,459,Dawson,4.8,4.8,Wolves,84,3.0,83,3.751,78,2.254,76,3.214,77,2.443,77,3.9,76,2.067
F,125,Enciso,4.6,4.6,Brighton,0,0.0,45,2.449,36,4.762,35,2.594,32,4.27,31,4.341,29,2.208
F,95,Mbeumo,5.8,5.8,Brentford,76,3.151,76,3.07,74,3.156,74,2.762,73,2.945,72,2.862,71,2.618
M,79,Nørgaard,5.3,5.3,Brentford,81,3.116,78,2.985,75,3.235,74,2.567,77,3.231,75,2.776,76,2.646
D,313,Zinchenko,5.2,5.2,Arsenal,40,1.409,57,1.405,74,3.681,74,2.907,71,2.874,70,3.985,73,4.276
G,238,Meslier,4.5,4.5,Leeds,89,3.124,88,3.26,87,3.201,88,2.196,86,2.858,85,2.968,86,2.886
M,3,Xhaka,4.9,4.9,Arsenal,78,3.798,71,2.557,68,2.843,70,2.705,69,2.655,68,3.019,66,2.805
M,42,Buendía,5.7,5.7,Aston Villa,75,3.752,68,3.645,64,2.719,61,2.655,62,2.73,61,2.328,62,2.496
F,356,Wilson,6.9,6.9,Newcastle,54,2.802,52,2.772,51,2.792,45,2.399,43,4.529,45,2.683,43,2.282
M,46,Douglas Luiz,4.8,4.8,Aston Villa,80,3.165,76,3.35,72,2.709,69,2.932,71,2.898,71,2.601,69,2.591
M,369,Almirón,5.4,5.4,Newcastle,68,3.482,64,2.985,62,2.821,60,2.337,59,4.154,58,2.297,59,2.125
D,85,Henry,4.6,4.6,Brentford,83,3.229,79,2.967,76,4.244,76,2.096,71,3.28,69,2.387,68,1.924
M,233,Harrison,5.7,5.7,Leeds,72,3.603,68,3.374,65,2.941,65,2.376,64,2.416,65,2.829,62,2.444
M,609,Antony,7.3,7.3,Man Utd,0,0.0,70,3.145,66,5.193,63,2.584,64,2.788,58,4.138,58,2.068
M,277,Thiago,5.1,5.1,Liverpool,59,1.974,70,2.732,69,5.572,67,2.565,66,2.492,64,2.324,61,2.232
M,433,Højbjerg,5.4,5.4,Spurs,86,2.672,84,2.808,82,2.581,80,3.041,81,2.854,80,2.932,81,2.995
F,145,Havertz,7.4,7.4,Chelsea,0,0.0,65,3.286,64,2.936,62,3.111,57,2.591,62,5.592,59,2.361
D,217,Robinson,4.4,4.4,Fulham,84,2.986,82,2.414,80,3.346,77,3.02,77,3.096,74,3.062,75,1.922
M,724,Enzo,5.0,5.0,Chelsea,0,0.0,77,3.052,76,2.68,75,3.016,74,3.227,74,5.117,74,2.744
M,186,Iwobi,5.0,5.0,Everton,84,3.178,75,2.722,73,2.879,73,2.585,71,2.513,70,2.892,69,2.949
D,484,Kilman,4.3,4.3,Wolves,86,2.842,80,3.562,77,2.122,78,3.118,77,2.291,76,3.726,76,1.949
M,303,Mahrez,7.3,7.3,Man City,0,0.0,52,2.179,54,5.115,54,2.695,53,2.721,52,4.395,53,2.381
M,464,Benrahma,5.5,5.5,West Ham,58,2.71,58,2.412,56,4.624,54,2.278,54,2.28,56,2.649,55,2.424
D,128,Thiago Silva,5.4,5.4,Chelsea,0,0.0,78,3.584,74,2.528,70,3.603,63,3.554,62,3.641,62,2.438
