Pos,ID,Name,BV,SV,Team,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts
D,357,Trippier,6.0,5.9,Newcastle,84,5.886,82,5.237,81,8.701,79,4.116,78,8.601,78,4.548
F,80,Toney,7.8,7.7,Brentford,87,9.808,82,5.002,81,8.095,80,4.404,78,4.781,78,4.928
M,283,Salah,12.8,12.8,Liverpool,83,6.321,0,0.0,78,9.972,76,4.978,74,5.639,74,5.97
G,81,Raya,4.8,4.8,Brentford,89,8.367,87,4.232,87,6.462,87,3.942,87,4.318,87,4.241
F,427,Kane,11.7,11.7,Spurs,86,5.582,84,5.463,80,5.376,80,4.524,79,5.606,75,4.421
M,124,Mitoma,5.5,5.3,Brighton,81,9.756,0,0.0,72,8.74,71,4.014,75,8.384,0,0.0
G,376,Pope,5.4,5.4,Newcastle,89,4.817,87,4.271,87,7.255,86,3.481,87,7.074,87,3.796
M,116,Mac Allister,5.4,5.4,Brighton,83,9.774,0,0.0,74,8.727,77,4.206,74,7.921,0,0.0
M,13,Saka,8.5,8.2,Arsenal,86,5.064,81,5.319,78,5.215,78,4.221,76,4.718,76,5.324
M,261,Maddison,8.1,8.1,Leicester,86,4.097,83,4.219,80,9.28,75,4.462,73,3.231,72,4.141
M,107,March,5.1,5.1,Brighton,84,8.763,0,0.0,78,8.538,78,3.97,78,7.723,0,0.0
F,40,Watkins,7.3,7.3,Aston Villa,86,4.206,82,4.416,81,7.905,79,4.415,80,3.908,81,4.001
D,366,Schär,5.1,5.1,Newcastle,75,4.61,80,4.252,78,6.786,74,3.066,72,6.327,74,3.429
M,333,Fernandes,9.8,9.8,Man Utd,83,6.119,0,0.0,83,10.303,82,5.997,81,5.749,0,0.0
D,358,Burn,4.5,4.5,Newcastle,84,4.694,79,4.091,79,6.539,76,2.967,77,6.426,77,3.424
M,7,Ødegaard,7.0,7.0,Arsenal,72,4.31,81,5.14,77,4.963,78,3.987,76,4.674,75,4.895
D,377,Botman,4.5,4.5,Newcastle,86,4.684,81,4.114,79,6.515,75,2.905,74,6.189,75,3.29
G,254,Ward,4.0,4.0,Leicester,89,3.871,87,3.305,86,7.951,86,4.381,86,2.777,85,4.411
M,160,Zaha,7.2,7.2,Crystal Palace,86,6.993,84,3.46,82,4.004,81,3.919,80,4.079,80,4.199
G,133,Arrizabalaga,4.7,4.6,Chelsea,89,4.271,88,5.2,88,8.456,85,4.713,85,3.913,0,0.0
M,79,Nørgaard,5.3,5.3,Brentford,82,6.97,79,3.439,77,5.847,76,3.09,77,3.426,77,3.414
M,104,Groß,5.4,5.4,Brighton,79,8.037,0,0.0,75,7.341,75,3.367,76,7.012,0,0.0
D,85,Henry,4.5,4.5,Brentford,82,7.126,79,3.595,76,4.804,72,3.048,75,3.501,73,3.364
D,586,Estupiñán,4.8,4.7,Brighton,75,8.8,0,0.0,68,7.077,70,3.077,71,6.409,0,0.0
G,152,Guaita,4.4,4.4,Crystal Palace,89,6.04,88,3.013,87,4.028,87,3.752,87,4.016,88,4.429
D,526,Mee,5.1,5.1,Brentford,86,6.931,84,3.522,82,4.626,79,3.121,78,3.551,79,3.492
M,374,Bruno Guimarães,5.5,5.5,Newcastle,84,3.568,83,3.48,77,6.148,77,3.038,76,5.973,76,3.035
D,313,Zinchenko,5.2,5.2,Arsenal,81,4.391,78,5.122,76,4.549,76,2.697,75,3.807,72,4.661
D,285,Alexander-Arnold,7.3,7.3,Liverpool,86,4.838,0,0.0,81,6.799,78,3.467,77,4.335,78,5.603
G,31,Martínez,4.9,4.9,Aston Villa,88,3.345,88,4.127,87,6.588,87,4.342,86,3.462,85,3.115
D,16,Gabriel,5.2,5.2,Arsenal,85,4.13,82,4.886,80,4.371,78,2.542,77,3.779,76,4.768
G,238,Meslier,4.5,4.5,Leeds,89,3.023,89,3.716,87,7.147,86,4.156,87,2.903,87,3.43
M,715,Tetê,5.5,5.5,Leicester,73,3.694,68,3.524,68,7.626,66,3.477,66,2.797,64,3.244
G,15,Ramsdale,4.9,4.9,Arsenal,89,4.012,88,4.659,88,4.207,87,2.899,86,3.73,84,4.599
M,407,Ward-Prowse,6.3,6.3,Southampton,86,6.774,84,3.475,84,3.614,83,3.159,82,3.91,80,3.101
F,66,Solanke,5.5,5.5,Bournemouth,85,3.141,82,3.563,79,6.708,77,3.548,76,3.283,76,3.49
D,106,Dunk,4.7,4.7,Brighton,87,7.781,0,0.0,85,7.056,82,2.857,82,5.94,0,0.0
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,80,3.42,77,3.403,76,7.347,73,3.322,73,3.064,70,2.931
F,318,Haaland,12.2,12.2,Man City,79,6.14,0,0.0,71,5.192,69,6.173,71,5.968,0,0.0
F,95,Mbeumo,5.9,5.9,Brentford,73,6.323,73,3.035,71,5.376,70,2.723,72,3.017,70,2.979
G,729,Navas,4.5,4.5,Nott'm Forest,89,3.177,87,3.421,84,7.686,79,3.377,75,3.035,71,2.561
D,284,Robertson,6.8,6.8,Liverpool,81,4.639,0,0.0,79,6.441,76,3.237,75,3.905,72,4.974
G,281,Alisson,5.4,5.4,Liverpool,89,4.238,0,0.0,87,6.674,86,3.372,87,3.867,86,4.908
D,258,Castagne,4.4,4.4,Leicester,84,3.408,81,2.796,78,7.186,76,3.978,71,1.825,72,3.742
D,92,Pinnock,4.4,4.4,Brentford,82,6.457,77,3.242,75,4.167,71,2.776,73,3.166,74,3.128
M,369,Almirón,5.4,5.4,Newcastle,71,3.667,68,3.425,67,5.568,64,2.488,64,5.134,64,2.585
D,26,Saliba,5.3,5.3,Arsenal,87,3.844,82,4.59,80,4.086,80,2.291,80,3.512,76,4.502
M,335,Rashford,7.4,7.0,Man Utd,81,5.337,0,0.0,73,8.278,72,4.606,72,4.557,0,0.0
M,264,Barnes,6.7,6.7,Leicester,44,1.558,77,3.638,74,7.329,71,3.762,70,3.017,68,3.46
G,478,Sá,5.0,5.0,Wolves,89,3.253,88,4.04,88,4.128,87,3.779,87,3.659,86,3.618
M,465,Bowen,8.0,8.0,West Ham,80,4.205,0,0.0,73,7.453,71,3.65,69,3.212,72,3.822
F,594,Isak,6.6,6.6,Newcastle,57,3.018,57,2.956,55,5.454,54,2.669,53,5.356,53,2.706
D,222,Ayling,4.5,4.5,Leeds,82,2.776,77,3.59,76,6.408,74,3.92,75,2.329,73,3.008
M,88,Jensen,4.8,4.8,Brentford,71,6.207,69,3.012,67,4.912,65,2.399,66,2.747,66,2.717
M,19,Martinelli,6.5,6.5,Arsenal,77,4.95,69,4.521,65,3.66,62,2.918,60,2.815,57,2.89
G,574,Neto,4.5,4.5,Bournemouth,88,2.727,87,3.115,87,6.295,85,3.144,86,2.982,86,3.464
D,272,W.Fofana,4.3,4.3,Chelsea,80,3.552,74,4.438,76,6.844,72,3.832,69,2.945,0,0.0
D,430,Dier,5.1,5.1,Spurs,86,4.521,83,3.684,81,3.595,80,2.85,79,4.147,77,2.81
D,39,Mings,4.3,4.3,Aston Villa,87,2.924,80,3.888,78,5.59,74,3.984,73,2.772,72,2.404
D,332,Shaw,5.2,5.2,Man Utd,81,5.11,0,0.0,80,7.504,75,4.583,74,4.356,0,0.0
D,280,Van Dijk,6.5,6.5,Liverpool,88,4.2,0,0.0,81,5.771,79,2.98,77,3.72,76,4.843
G,102,Steele,3.9,3.9,Brighton,85,7.951,0,0.0,72,7.055,65,2.763,56,3.699,0,0.0
G,422,Bazunu,4.5,4.5,Southampton,85,5.925,83,3.141,81,3.2,81,2.622,81,3.898,79,2.646
F,690,João Félix,7.6,7.6,Chelsea,77,4.697,70,4.097,68,6.847,61,2.85,65,2.822,0,0.0
D,691,Wöber,4.5,4.5,Leeds,80,2.699,74,3.41,75,6.21,70,3.701,69,2.168,72,2.934
F,394,Johnson,5.7,5.7,Nott'm Forest,82,3.046,81,3.012,77,6.484,76,3.173,74,2.773,71,2.627
D,10,White,4.7,4.7,Arsenal,71,3.676,71,4.382,70,3.852,68,2.212,68,3.28,65,3.622
D,43,Cash,4.6,4.6,Aston Villa,77,2.922,75,3.745,71,5.284,68,3.637,69,2.797,69,2.376
F,210,Mitrović,6.7,6.7,Fulham,84,3.611,0,0.0,79,4.414,77,4.18,76,4.152,77,4.339
M,705,Ouattara,5.0,5.0,Bournemouth,74,3.288,73,3.583,67,5.792,61,2.52,64,2.636,64,2.803
F,145,Havertz,7.5,7.5,Chelsea,80,4.235,73,3.975,67,6.373,65,3.018,66,2.793,0,0.0
M,428,Son,11.6,11.6,Spurs,72,4.348,65,3.494,64,3.38,62,2.825,62,3.363,64,2.939
M,370,S.Longstaff,4.3,4.3,Newcastle,80,3.58,77,3.446,62,4.552,61,2.139,61,4.295,63,2.296
M,603,Paquetá,5.9,5.9,West Ham,62,2.668,0,0.0,71,7.4,68,3.426,69,3.083,69,3.697
M,266,Dewsbury-Hall,4.9,4.9,Leicester,79,2.978,77,2.835,76,5.911,74,3.004,73,2.415,71,2.879
D,443,Romero,4.9,4.9,Spurs,86,4.245,83,3.41,82,3.324,80,2.603,77,3.854,79,2.575
D,472,Aguerd,4.8,4.8,West Ham,85,3.712,0,0.0,79,7.338,74,3.039,73,2.51,73,3.361
G,2,Leno,4.5,4.5,Fulham,88,3.179,0,0.0,87,4.093,86,4.214,84,4.044,84,4.225
D,459,Dawson,4.8,4.8,Wolves,87,2.692,85,3.685,82,3.785,81,3.275,79,3.121,79,3.07
G,455,Fabianski,5.0,5.0,West Ham,0,0.035,0,0.0,85,8.348,83,3.79,85,3.282,85,4.048
M,46,Douglas Luiz,4.8,4.8,Aston Villa,83,2.967,80,3.273,71,5.222,70,2.934,68,2.407,70,2.545
D,461,Zouma,4.4,4.4,West Ham,51,1.604,0,0.0,80,7.862,74,3.337,77,2.74,75,3.72
M,37,McGinn,5.1,5.1,Aston Villa,81,2.93,77,3.227,72,5.208,73,3.003,70,2.543,67,2.294
G,327,De Gea,5.0,5.0,Man Utd,88,4.245,0,0.0,87,6.758,86,4.169,86,3.934,0,0.0
