Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,333,Fernandes,9.4,9.4,Man Utd,87,6.082,84,11.192,83,5.759
F,318,Haaland,12.4,12.3,Man City,64,5.246,76,10.43,73,5.8
M,124,Mitoma,5.6,5.5,Brighton,80,7.975,76,8.557,75,4.412
M,116,Mac Allister,5.6,5.5,Brighton,78,7.718,74,8.092,73,3.805
M,283,Salah,13.1,12.9,Liverpool,85,6.192,83,6.1,79,6.232
M,104,Groß,5.4,5.4,Brighton,80,6.987,76,7.703,76,3.772
D,586,Estupiñán,4.9,4.9,Brighton,84,5.803,80,7.901,76,3.896
D,357,Trippier,6.1,6.0,Newcastle,85,8.371,81,4.892,79,4.22
D,332,Shaw,5.2,5.2,Man Utd,83,5.154,78,7.906,76,4.175
G,102,Steele,4.0,3.9,Brighton,79,6.125,76,7.309,72,3.478
M,301,De Bruyne,12.2,12.2,Man City,42,2.51,70,9.564,68,4.741
G,327,De Gea,5.0,5.0,Man Utd,89,4.619,87,7.294,87,3.867
F,427,Kane,11.4,11.4,Spurs,86,4.91,84,5.261,82,5.291
G,307,Ederson,5.4,5.4,Man City,85,4.152,79,7.461,86,3.75
M,13,Saka,8.1,8.1,Arsenal,81,4.532,79,5.39,75,5.217
F,594,Isak,7.0,7.0,Newcastle,63,6.893,68,4.408,66,3.661
G,133,Arrizabalaga,4.6,4.6,Chelsea,88,4.633,86,6.605,86,3.597
G,376,Pope,5.4,5.4,Newcastle,89,7.005,87,4.08,86,3.61
M,593,Casemiro,4.9,4.9,Man Utd,83,3.828,81,6.968,77,3.574
D,329,Varane,4.8,4.8,Man Utd,67,3.743,82,6.88,77,3.641
M,7,Ødegaard,6.7,6.7,Arsenal,82,4.141,79,5.025,77,5.081
D,377,Botman,4.5,4.5,Newcastle,83,6.669,81,4.028,78,3.401
M,371,Joelinton,6.1,6.1,Newcastle,77,7.028,74,3.728,73,3.26
M,373,Willock,4.7,4.7,Newcastle,74,7.128,68,3.568,68,3.3
M,169,Eze,5.5,5.5,Crystal Palace,78,4.647,78,4.46,77,4.82
G,175,Johnstone,4.4,4.4,Crystal Palace,86,4.5,82,4.198,85,4.997
D,285,Alexander-Arnold,7.7,7.5,Liverpool,85,4.189,82,4.603,79,4.693
D,312,Dias,6.0,6.0,Man City,69,3.631,72,6.631,69,3.213
D,366,Schär,5.1,5.1,Newcastle,83,6.38,81,3.816,80,3.184
M,428,Son,11.5,11.5,Spurs,78,4.305,76,4.411,74,4.403
D,106,Dunk,4.8,4.8,Brighton,87,4.246,84,5.936,82,2.853
D,342,Dalot,4.8,4.8,Man Utd,68,4.418,63,5.521,64,3.014
F,80,Toney,7.3,7.3,Brentford,87,4.971,74,4.464,63,3.253
D,358,Burn,4.5,4.5,Newcastle,81,6.153,75,3.52,76,2.989
M,374,Bruno Guimarães,5.5,5.5,Newcastle,85,6.253,81,3.351,78,3.031
F,125,Enciso,4.6,4.6,Brighton,61,5.227,58,5.057,52,2.263
M,315,Rodri,5.6,5.6,Man City,74,3.258,77,6.243,73,3.002
M,120,Caicedo,5.0,5.0,Brighton,85,4.709,79,5.167,75,2.434
F,40,Watkins,7.4,7.3,Aston Villa,86,4.503,85,3.865,83,3.915
M,160,Zaha,7.2,7.2,Crystal Palace,85,4.035,81,3.873,81,4.184
F,66,Solanke,5.7,5.6,Bournemouth,85,4.133,80,3.82,78,4.126
M,261,Maddison,7.8,7.8,Leicester,84,3.92,82,3.665,81,4.493
M,303,Mahrez,7.4,7.3,Man City,61,3.562,59,5.636,58,2.863
D,284,Robertson,6.8,6.8,Liverpool,81,3.802,79,4.191,74,4.04
D,337,Lindelöf,4.1,4.1,Man Utd,70,4.019,64,5.287,63,2.616
F,596,Ferguson,4.6,4.6,Brighton,48,4.516,48,4.752,47,2.417
D,128,Thiago Silva,5.4,5.4,Chelsea,81,4.193,72,4.646,69,2.777
M,519,Eriksen,6.2,6.2,Man Utd,65,3.187,63,5.658,61,2.691
G,281,Alisson,5.4,5.4,Liverpool,89,3.592,88,3.983,86,3.924
M,19,Martinelli,6.7,6.7,Arsenal,71,3.802,67,3.831,66,3.851
D,10,White,5.0,5.0,Arsenal,85,2.988,83,3.951,82,4.526
G,15,Ramsdale,4.8,4.8,Arsenal,88,3.257,88,3.845,87,4.333
M,465,Bowen,8.0,8.0,West Ham,79,3.799,75,3.91,75,3.684
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,84,3.767,79,3.779,78,3.844
G,2,Leno,4.6,4.6,Fulham,86,3.969,83,4.148,84,3.209
D,16,Gabriel,5.2,5.2,Arsenal,86,2.926,84,3.89,82,4.458
G,455,Fabianski,4.9,4.9,West Ham,87,3.57,89,4.047,88,3.579
D,280,Van Dijk,6.6,6.6,Liverpool,85,3.398,83,3.873,81,3.921
M,724,Enzo,5.0,5.0,Chelsea,80,3.181,78,5.193,74,2.612
M,340,Sancho,7.1,7.1,Man Utd,67,3.662,57,4.976,53,2.343
F,28,Jesus,8.1,8.1,Arsenal,73,3.588,70,3.935,65,3.296
G,81,Raya,4.8,4.8,Brentford,89,4.079,88,3.508,88,3.193
M,335,Rashford,7.3,7.0,Man Utd,15,1.005,49,4.655,76,5.043
M,171,Olise,5.3,5.3,Crystal Palace,74,3.631,73,3.406,72,3.642
D,170,Mitchell,4.4,4.4,Crystal Palace,79,3.52,77,3.172,74,3.968
F,191,Calvert-Lewin,7.9,7.9,Everton,75,3.41,73,3.555,70,3.636
D,165,Andersen,4.5,4.5,Crystal Palace,87,3.423,83,3.09,80,4.023
M,534,McNeil,5.1,5.1,Everton,79,2.959,77,3.754,76,3.784
D,559,Colwill,4.4,4.4,Brighton,82,4.904,58,4.148,50,1.438
M,679,Buonanotte,4.5,4.5,Brighton,45,3.986,45,4.351,40,2.148
D,167,Guéhi,4.5,4.5,Crystal Palace,86,3.376,83,3.042,81,3.994
D,156,Ward,4.4,4.4,Crystal Palace,78,3.44,75,2.993,74,3.873
D,610,Akanji,5.0,5.0,Man City,70,3.728,60,4.561,58,1.995
M,233,Harrison,5.7,5.7,Leeds,76,3.31,74,3.515,72,3.42
D,8,Tierney,4.6,4.6,Arsenal,81,2.981,76,3.738,66,3.518
M,680,Gakpo,7.7,7.7,Liverpool,69,3.948,64,3.097,62,3.18
F,123,Undav,5.0,5.0,Brighton,34,3.889,33,4.252,31,2.022
G,574,Neto,4.5,4.5,Bournemouth,88,3.594,87,3.151,87,3.385
D,461,Zouma,4.4,4.4,West Ham,83,3.153,81,3.836,79,3.129
M,305,Grealish,7.2,7.2,Man City,44,1.916,62,5.544,61,2.654
M,407,Ward-Prowse,6.1,6.1,Southampton,86,3.757,86,3.139,84,3.217
M,264,Barnes,6.6,6.6,Leicester,78,3.356,77,3.237,75,3.45
D,472,Aguerd,4.8,4.8,West Ham,80,3.107,81,3.824,78,3.11
M,603,Paquetá,5.9,5.9,West Ham,69,3.383,67,3.4,67,3.172
D,710,Kiwior,4.0,4.0,Arsenal,77,2.749,71,3.326,71,3.832
F,319,Álvarez,6.0,6.0,Man City,62,3.354,41,4.255,42,2.256
M,314,Foden,8.0,8.0,Man City,59,3.095,48,4.418,49,2.339
D,733,Pedro Porro,4.8,4.8,Spurs,79,3.261,75,3.332,72,3.259
G,478,Sá,5.0,5.0,Wolves,89,3.053,88,3.969,88,2.828
M,70,Billing,5.1,5.1,Bournemouth,77,3.431,74,3.072,74,3.29
G,182,Pickford,4.4,4.4,Everton,89,2.552,88,3.515,86,3.718
G,31,Martínez,5.0,5.0,Aston Villa,88,3.635,88,2.862,88,3.255
G,426,Forster,3.9,3.9,Spurs,88,3.151,86,3.287,85,3.232
M,42,Buendía,5.7,5.7,Aston Villa,72,3.694,68,3.122,66,2.786
D,290,Konaté,4.8,4.8,Liverpool,83,2.891,82,3.36,77,3.342
M,186,Iwobi,4.9,4.9,Everton,82,2.84,82,3.333,78,3.399
M,703,Danilo,4.5,4.5,Nott'm Forest,79,3.334,76,2.986,73,3.236
M,3,Xhaka,4.8,4.8,Arsenal,75,2.903,72,3.312,71,3.336
M,148,Gallagher,5.6,5.6,Chelsea,72,3.341,64,4.477,57,1.622
F,95,Mbeumo,5.6,5.6,Brentford,74,3.373,72,3.17,70,2.884
