Pos,ID,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts
F,80,Toney,7.6,7.6,Brentford,86,4.893,80,9.22,80,4.691,78,8.247,77,4.246,75,4.261,75,4.49
M,283,Salah,12.7,12.7,Liverpool,85,5.828,80,5.978,0,0.0,78,10.32,77,5.205,77,5.6,76,5.945
F,427,Kane,11.7,11.7,Spurs,87,5.301,85,5.469,83,5.345,81,5.375,80,4.931,76,5.423,78,4.63
G,81,Raya,4.8,4.8,Brentford,89,4.402,88,8.457,87,4.257,87,6.749,87,3.976,86,4.289,87,4.255
D,357,Trippier,6.0,5.9,Newcastle,86,2.897,83,5.57,79,5.032,76,8.339,75,4.454,76,5.674,76,4.307
M,13,Saka,8.5,8.2,Arsenal,85,5.484,83,5.179,78,5.192,75,4.875,75,4.221,76,4.662,74,4.839
M,124,Mitoma,5.3,5.2,Brighton,77,4.852,76,9.508,0,0.0,72,8.55,71,4.628,70,5.452,70,0.038
M,7,Ødegaard,7.0,7.0,Arsenal,82,5.037,79,4.722,77,4.876,78,4.769,78,4.158,76,4.518,73,4.307
G,133,Arrizabalaga,4.7,4.6,Chelsea,89,4.64,87,4.222,88,5.207,86,8.401,84,4.651,85,4.043,84,0.817
M,261,Maddison,8.1,8.1,Leicester,58,2.377,78,4.312,78,4.107,76,8.672,76,4.483,77,3.735,75,4.221
F,318,Haaland,12.2,12.2,Man City,79,6.293,75,6.461,0,0.0,72,6.399,69,6.13,70,6.431,68,0.057
M,333,Fernandes,9.8,9.8,Man Utd,86,4.654,85,5.527,0,0.0,81,9.519,81,5.45,80,5.185,80,1.113
G,376,Pope,5.4,5.4,Newcastle,89,2.731,88,4.619,87,4.214,86,7.236,84,4.0,85,4.86,85,3.694
M,160,Zaha,7.2,7.2,Crystal Palace,73,3.627,81,7.415,80,3.619,78,4.049,77,3.932,75,3.919,78,4.219
M,264,Barnes,6.7,6.7,Leicester,80,4.055,77,3.996,75,3.757,74,7.693,72,3.89,71,3.393,71,3.787
D,85,Henry,4.5,4.5,Brentford,83,3.947,80,7.382,77,3.651,76,5.063,76,3.261,74,3.468,74,3.49
F,40,Watkins,7.3,7.3,Aston Villa,84,3.92,83,3.819,81,3.932,81,7.427,80,3.898,81,3.562,80,3.598
D,285,Alexander-Arnold,7.3,7.3,Liverpool,86,4.167,84,4.979,0,0.0,80,7.215,79,3.734,77,4.408,76,5.589
D,526,Mee,5.0,5.0,Brentford,87,3.84,85,7.202,84,3.614,81,4.99,81,3.212,81,3.608,82,3.608
D,313,Zinchenko,5.1,5.1,Arsenal,80,5.376,77,4.162,76,4.98,75,4.494,73,2.787,71,3.631,70,4.463
M,407,Ward-Prowse,6.3,6.3,Southampton,87,3.864,86,7.348,83,3.738,82,3.845,80,3.41,79,4.035,81,3.347
G,113,Sánchez,4.6,4.6,Brighton,89,4.216,88,8.223,0,0.0,87,7.997,86,3.886,86,4.828,87,0.03
D,16,Gabriel,5.2,5.2,Arsenal,84,5.078,82,3.893,80,4.758,80,4.348,78,2.686,77,3.683,77,4.71
M,116,Mac Allister,5.4,5.4,Brighton,84,4.034,80,8.186,0,0.0,77,8.03,76,4.048,76,4.823,74,0.032
G,15,Ramsdale,4.9,4.9,Arsenal,89,4.953,87,3.845,86,4.633,86,4.2,86,3.018,86,3.75,84,4.637
G,254,Ward,4.0,4.0,Leicester,88,3.681,87,3.649,86,3.189,86,7.393,87,4.19,86,2.627,85,4.211
D,366,Schär,5.1,5.1,Newcastle,68,2.172,79,4.608,79,4.19,74,6.579,73,3.549,73,4.455,71,3.305
M,107,March,5.1,5.1,Brighton,71,3.581,80,8.278,0,0.0,76,7.776,76,4.23,75,4.945,75,0.033
G,152,Guaita,4.4,4.4,Crystal Palace,89,3.617,87,6.132,87,2.941,87,3.96,86,3.657,86,3.897,87,4.43
M,104,Groß,5.4,5.4,Brighton,82,4.057,81,8.082,0,0.0,76,7.746,76,4.115,74,4.596,74,0.031
G,31,Martínez,4.9,4.9,Aston Villa,89,3.973,89,3.276,87,4.099,87,6.464,87,4.227,86,3.343,85,3.068
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,81,4.055,78,3.581,76,3.514,75,7.342,71,3.389,71,3.206,72,3.165
D,284,Robertson,6.8,6.8,Liverpool,82,3.884,80,4.692,0,0.0,77,6.661,77,3.465,76,4.13,76,5.357
D,377,Botman,4.5,4.5,Newcastle,85,2.171,81,4.414,75,3.93,77,6.398,75,3.48,75,4.379,77,3.294
D,26,Saliba,5.3,5.3,Arsenal,86,4.923,82,3.742,81,4.618,79,4.182,76,2.549,76,3.535,75,4.47
D,358,Burn,4.5,4.5,Newcastle,85,2.156,81,4.422,79,3.973,77,6.366,74,3.402,73,4.187,74,3.199
D,586,Estupiñán,4.7,4.7,Brighton,62,2.841,77,8.777,0,0.0,73,7.541,75,3.63,74,4.472,71,0.025
M,335,Rashford,7.3,7.0,Man Utd,82,4.274,77,4.861,0,0.0,75,8.418,74,4.531,73,4.243,73,0.919
G,238,Meslier,4.5,4.5,Leeds,88,3.327,87,3.171,87,3.677,86,7.147,86,4.105,87,2.874,86,2.684
