Pos,ID,Name,BV,SV,Team,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,283,Salah,12.8,12.8,Liverpool,85,6.006,80,6.409,79,5.705,77,11.922,78,6.015,78,6.007,76,5.66,72,5.267
F,318,Haaland,12.2,12.2,Man City,80,6.283,0,0.0,75,4.663,71,11.015,69,5.87,72,5.816,70,9.102,69,5.323
M,124,Mitoma,5.7,5.6,Brighton,82,4.49,0,0.0,76,4.91,77,9.489,75,4.973,75,7.643,74,8.477,74,4.39
M,116,Mac Allister,5.5,5.4,Brighton,82,4.189,0,0.0,80,4.786,78,9.329,75,4.914,77,7.095,75,8.198,76,4.3
M,301,De Bruyne,12.1,12.1,Man City,74,5.774,0,0.0,70,4.649,70,10.609,69,5.169,66,4.72,66,7.748,66,4.14
M,107,March,5.2,5.2,Brighton,82,4.07,0,0.0,79,4.564,78,8.699,77,4.794,79,7.046,78,8.233,79,4.217
D,357,Trippier,6.2,6.0,Newcastle,87,4.427,83,4.478,82,4.839,80,5.705,80,3.947,77,8.064,77,5.386,79,4.116
M,333,Fernandes,9.6,9.6,Man Utd,84,5.1,0,0.0,79,4.355,79,8.81,76,4.461,75,4.635,75,8.654,75,4.686
D,285,Alexander-Arnold,7.3,7.3,Liverpool,85,4.235,81,5.632,78,4.263,76,9.159,75,4.005,75,4.053,74,4.215,75,4.452
F,427,Kane,11.7,11.7,Spurs,88,5.383,82,4.162,80,4.914,82,4.361,81,5.299,81,4.878,79,5.174,78,5.13
G,102,Steele,3.9,3.9,Brighton,88,3.794,0,0.0,86,4.424,85,8.319,84,4.825,84,6.02,83,7.713,83,3.801
D,586,Estupiñán,4.8,4.8,Brighton,85,3.806,0,0.0,78,4.707,77,8.511,76,5.003,75,5.577,74,7.257,75,3.543
M,13,Saka,8.6,8.6,Arsenal,83,5.146,79,5.533,78,3.764,75,4.489,76,3.916,76,4.299,75,5.112,75,5.142
G,307,Ederson,5.4,5.4,Man City,89,4.848,0,0.0,87,3.512,87,8.928,86,4.524,85,4.36,86,7.412,87,3.65
D,280,Van Dijk,6.5,6.5,Liverpool,86,3.753,83,5.127,81,3.834,80,8.428,80,3.861,78,3.856,77,4.055,76,4.154
D,284,Robertson,6.8,6.8,Liverpool,82,3.963,78,5.304,76,3.941,74,8.138,74,3.816,74,3.807,73,3.921,70,3.964
G,281,Alisson,5.4,5.4,Liverpool,88,3.779,88,4.86,88,3.803,86,8.339,87,3.85,86,3.854,86,4.068,86,4.142
M,7,Ødegaard,6.7,6.7,Arsenal,84,4.73,78,5.047,79,3.696,79,4.421,77,3.865,77,3.966,78,4.924,77,4.946
G,376,Pope,5.4,5.4,Newcastle,88,3.765,88,3.816,88,4.066,89,4.708,87,3.441,87,6.88,85,4.523,85,3.571
M,104,Groß,5.4,5.4,Brighton,75,3.404,0,0.0,75,3.786,74,7.245,72,3.904,72,6.011,72,6.77,71,3.39
M,465,Bowen,8.0,8.0,West Ham,83,3.61,77,4.248,78,3.664,77,7.469,72,3.522,75,3.717,74,3.969,72,3.767
D,106,Dunk,4.7,4.7,Brighton,88,3.174,0,0.0,84,4.001,83,7.382,83,4.361,82,4.894,81,6.62,83,3.158
F,40,Watkins,7.6,7.4,Aston Villa,86,3.948,83,4.343,81,4.598,79,4.138,79,4.478,79,4.351,80,3.843,80,3.881
G,327,De Gea,5.0,5.0,Man Utd,89,3.958,0,0.0,87,3.177,87,6.667,86,3.468,85,4.258,86,7.369,85,3.986
D,377,Botman,4.5,4.5,Newcastle,84,3.529,83,3.573,78,3.852,78,4.587,79,3.114,76,6.304,76,4.225,74,3.12
G,2,Leno,4.6,4.6,Fulham,89,3.733,87,3.985,87,3.53,86,5.717,85,4.02,84,3.959,84,4.151,84,3.163
G,455,Fabianski,4.9,4.9,West Ham,88,3.078,88,4.049,86,3.214,86,6.594,86,3.562,85,3.499,85,4.107,84,3.863
M,261,Maddison,8.2,8.1,Leicester,85,3.387,80,4.506,78,4.256,76,4.339,77,4.259,74,3.444,77,3.536,74,3.902
G,133,Arrizabalaga,4.7,4.7,Chelsea,85,3.7,0,0.0,86,4.265,84,3.248,84,4.443,84,5.337,83,6.726,83,3.838
