Pos,ID,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts
M,333,Fernandes,9.5,9.5,Man Utd,87,11.389,84,5.807
F,318,Haaland,12.4,12.3,Man City,69,9.785,69,5.146
D,332,Shaw,5.2,5.2,Man Utd,83,8.615,81,4.343
M,116,Mac Allister,5.6,5.5,Brighton,79,8.658,78,4.243
M,124,Mitoma,5.7,5.6,Brighton,76,8.709,70,4.044
M,283,Salah,13.1,12.9,Liverpool,85,6.13,82,6.285
M,335,Rashford,7.2,6.9,Man Utd,65,7.025,79,5.138
G,327,De Gea,5.1,5.1,Man Utd,89,7.679,88,3.849
D,586,Estupiñán,4.9,4.9,Brighton,83,7.328,78,3.929
G,307,Ederson,5.4,5.4,Man City,78,7.52,79,3.621
D,329,Varane,4.8,4.8,Man Utd,85,7.349,82,3.687
M,303,Mahrez,7.4,7.3,Man City,65,7.271,65,3.744
G,102,Steele,4.0,3.9,Brighton,89,7.186,88,3.759
M,13,Saka,8.1,8.1,Arsenal,82,5.331,80,5.471
F,427,Kane,11.4,11.4,Spurs,85,5.193,83,5.282
M,593,Casemiro,4.9,4.9,Man Utd,81,6.967,75,3.291
D,312,Dias,6.0,6.0,Man City,72,6.916,72,3.23
M,7,Ødegaard,6.8,6.8,Arsenal,82,5.012,79,5.096
M,104,Groß,5.4,5.4,Brighton,74,6.785,71,3.263
D,337,Lindelöf,4.1,4.1,Man Utd,74,6.8,69,3.178
D,285,Alexander-Arnold,7.7,7.5,Liverpool,86,5.069,83,4.91
M,519,Eriksen,6.2,6.2,Man Utd,67,6.313,65,3.106
M,169,Eze,5.6,5.6,Crystal Palace,83,4.475,80,4.883
M,315,Rodri,5.6,5.6,Man City,74,6.153,77,3.163
D,357,Trippier,6.1,6.0,Newcastle,77,4.833,82,4.29
G,175,Johnstone,4.4,4.4,Crystal Palace,89,4.142,87,4.823
D,284,Robertson,6.8,6.8,Liverpool,82,4.631,75,4.216
D,299,Walker,4.7,4.7,Man City,64,5.773,67,2.919
D,559,Colwill,4.4,4.4,Brighton,75,6.223,62,2.426
