Pos,ID,Name,BV,SV,Team,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts
F,318,Haaland,12.2,12.2,Man City,82,6.872,76,13.309,74,6.85,71,6.854,72,6.459
M,283,Salah,12.7,12.7,Liverpool,85,6.373,81,6.413,80,4.985,77,8.687,73,5.346
M,13,Saka,8.2,8.1,Arsenal,84,5.386,79,9.582,78,4.836,75,5.571,73,4.887
M,7,Ødegaard,6.9,6.9,Arsenal,83,4.907,80,9.216,78,4.607,78,5.459,76,5.055
F,427,Kane,11.7,11.7,Spurs,85,4.674,84,5.351,81,5.35,81,5.345,78,5.421
G,15,Ramsdale,4.9,4.9,Arsenal,88,4.479,86,7.581,86,3.976,85,4.786,85,5.104
D,285,Alexander-Arnold,7.3,7.3,Liverpool,84,4.965,82,5.485,82,3.547,79,7.162,77,4.234
D,26,Saliba,5.3,5.3,Arsenal,85,4.591,79,7.145,78,3.869,74,4.594,75,5.009
M,301,De Bruyne,12.4,12.4,Man City,73,4.137,73,8.408,69,4.279,70,4.341,70,3.957
M,333,Fernandes,9.9,9.9,Man Utd,86,10.44,84,4.851,82,5.089,0,0.0,79,4.203
D,16,Gabriel,5.2,5.2,Arsenal,81,4.44,80,6.925,77,3.72,77,4.559,74,4.827
F,11,Nketiah,6.7,6.7,Arsenal,78,4.225,76,7.89,74,3.939,75,4.674,66,3.154
G,307,Ederson,5.4,5.4,Man City,89,3.472,88,7.555,86,4.34,88,4.333,87,3.934
M,335,Rashford,7.2,6.9,Man Utd,82,10.223,79,4.831,75,4.703,0,0.0,68,3.705
D,284,Robertson,6.8,6.8,Liverpool,81,4.809,76,5.19,74,3.213,74,6.344,73,3.681
D,10,White,4.7,4.7,Arsenal,74,4.23,73,6.617,72,3.458,71,4.174,73,4.657
G,133,Arrizabalaga,4.6,4.5,Chelsea,89,4.886,88,4.349,86,5.084,86,4.07,85,4.739
M,19,Martinelli,6.7,6.7,Arsenal,72,4.163,70,7.511,70,3.935,66,3.727,64,3.323
G,281,Alisson,5.4,5.4,Liverpool,89,4.312,88,4.709,88,3.459,88,6.257,87,3.883
F,297,Darwin,8.8,8.8,Liverpool,82,4.691,77,4.837,76,4.04,70,5.885,60,2.936
D,313,Zinchenko,5.0,5.0,Arsenal,69,4.399,68,6.49,65,3.265,63,3.676,65,4.105
D,332,Shaw,5.3,5.0,Man Utd,82,9.891,81,4.05,77,4.538,0,0.0,75,2.802
M,407,Ward-Prowse,6.2,6.2,Southampton,87,4.014,85,4.651,83,3.986,83,4.053,83,4.28
G,238,Meslier,4.5,4.5,Leeds,89,6.712,88,3.169,87,3.729,86,3.925,85,3.157
F,210,Mitrović,7.0,6.9,Fulham,83,4.085,81,4.279,80,3.937,79,4.397,78,3.908
M,124,Mitoma,5.1,5.1,Brighton,75,4.807,73,4.58,72,4.797,0,0.0,71,6.124
G,2,Leno,4.5,4.5,Fulham,89,3.515,88,4.574,86,3.278,86,4.542,85,3.526
M,142,Mount,7.4,7.4,Chelsea,80,4.256,78,4.009,75,3.985,71,3.502,71,3.659
G,478,Sá,5.0,5.0,Wolves,90,2.949,88,3.79,87,4.427,86,4.692,85,3.499
M,261,Maddison,8.0,8.0,Leicester,76,4.131,76,4.065,75,3.725,71,3.462,72,3.871
G,425,Lloris,5.5,5.5,Spurs,89,3.061,89,3.834,87,4.219,87,3.921,87,4.152
G,455,Fabianski,5.0,5.0,West Ham,89,3.311,88,4.023,88,3.455,88,4.739,87,3.32
M,3,Xhaka,5.0,5.0,Arsenal,78,3.416,76,6.014,72,2.911,71,3.357,68,3.044
G,113,Sánchez,4.6,4.6,Brighton,89,4.553,87,4.029,87,4.186,0,0.0,86,5.671
M,315,Rodri,5.6,5.6,Man City,82,3.003,79,6.147,77,3.297,73,3.088,74,2.885
G,327,De Gea,5.0,5.0,Man Utd,89,8.3,89,3.466,88,3.913,0,0.0,87,2.698
F,40,Watkins,7.1,7.1,Aston Villa,85,3.851,84,3.436,81,3.507,78,3.755,79,3.799
D,309,Laporte,5.7,5.7,Man City,71,3.248,66,6.265,63,3.384,62,3.206,57,2.172
D,222,Ayling,4.5,4.5,Leeds,80,6.126,77,2.78,74,3.429,69,3.374,70,2.539
D,586,Estupiñán,4.6,4.6,Brighton,80,4.778,77,4.114,76,4.298,0,0.0,71,5.051
M,465,Bowen,8.0,8.0,West Ham,81,3.587,77,4.053,72,3.468,73,3.787,72,3.312
F,191,Calvert-Lewin,7.9,7.9,Everton,82,3.481,79,3.47,77,3.562,75,4.019,75,3.534
F,619,Gnonto,5.0,5.0,Leeds,79,7.075,73,3.11,68,3.145,63,2.485,60,2.135
D,276,Matip,5.9,5.9,Liverpool,86,3.575,83,4.135,79,2.573,74,5.101,66,2.509
G,31,Martínez,4.9,4.9,Aston Villa,88,3.812,88,2.673,87,3.065,87,3.828,86,4.231
D,357,Trippier,6.1,6.0,Newcastle,86,5.313,84,5.102,82,3.859,0,0.0,81,3.301
D,610,Akanji,5.0,5.0,Man City,71,2.765,66,5.585,67,3.467,67,3.486,59,2.18
M,107,March,5.2,5.2,Brighton,80,4.124,77,4.073,77,4.207,0,0.0,74,5.076
D,308,Aké,5.0,5.0,Man City,70,2.993,66,5.858,64,3.321,62,3.061,59,2.195
M,171,Olise,5.4,5.4,Crystal Palace,80,3.479,76,3.596,75,3.512,71,3.025,70,3.778
G,152,Guaita,4.4,4.4,Crystal Palace,88,3.063,88,3.499,86,3.528,85,2.985,84,4.198
M,104,Groß,5.5,5.5,Brighton,80,4.22,76,4.103,73,3.894,0,0.0,73,4.851
D,106,Dunk,4.7,4.7,Brighton,88,4.331,86,3.68,85,3.877,0,0.0,82,5.146
G,182,Pickford,4.4,4.4,Everton,88,2.98,89,2.685,87,3.578,87,4.024,87,3.746
M,614,Willian,5.5,5.5,Fulham,73,3.376,72,3.649,70,3.147,68,3.4,69,3.216
M,593,Casemiro,4.9,4.9,Man Utd,84,7.304,80,3.377,76,3.438,0,0.0,73,2.668
G,254,Ward,4.0,4.0,Leicester,88,3.575,86,3.316,86,3.038,85,3.012,85,3.74
M,264,Barnes,6.7,6.7,Leicester,76,3.782,73,3.528,70,3.371,68,3.151,64,2.784
G,81,Raya,4.7,4.7,Brentford,89,4.358,87,3.245,86,4.609,0,0.0,86,4.251
M,480,Neves,5.4,5.4,Wolves,83,2.778,83,3.116,83,3.341,80,4.231,75,2.998
F,227,Bamford,7.2,7.2,Leeds,69,6.289,64,2.597,63,2.703,59,2.364,62,2.485
M,303,Mahrez,7.7,7.7,Man City,62,3.113,57,5.246,58,2.914,56,2.724,54,2.287
D,329,Varane,4.8,4.8,Man Utd,79,7.66,77,2.991,78,3.514,0,0.0,72,2.046
G,422,Bazunu,4.5,4.5,Southampton,87,3.01,84,3.822,84,2.874,81,3.032,82,3.421
D,341,Wan-Bissaka,4.3,4.3,Man Utd,71,8.242,69,3.32,67,3.347,0,0.0,22,1.22
D,628,Aurier,4.6,4.6,Nott'm Forest,76,3.817,72,3.22,73,2.186,70,3.008,70,3.84
D,235,Struijk,4.5,4.5,Leeds,77,5.466,76,2.491,74,3.126,68,3.048,64,1.928
M,259,Tielemans,6.2,6.2,Leicester,83,3.338,78,3.459,76,3.224,71,2.977,71,3.027
D,533,Martínez,4.5,4.5,Man Utd,82,7.619,77,2.927,76,3.422,0,0.0,71,1.925
F,145,Havertz,7.8,7.8,Chelsea,78,4.136,68,3.377,64,2.883,61,2.808,62,2.671
F,80,Toney,7.7,7.7,Brentford,87,4.833,83,4.125,61,3.249,0,0.0,59,3.634
M,189,Gray,5.3,5.3,Everton,76,3.144,72,2.905,71,3.164,69,3.494,68,3.057
M,603,Paquetá,5.9,5.9,West Ham,74,2.925,72,3.273,72,3.081,70,3.381,71,2.916
D,366,Schär,5.2,5.2,Newcastle,83,4.762,79,4.544,76,3.296,0,0.0,75,2.949
G,376,Pope,5.5,5.5,Newcastle,89,4.59,88,4.443,88,3.333,0,0.0,87,3.167
D,484,Kilman,4.3,4.3,Wolves,79,2.152,79,3.156,75,3.864,77,3.69,74,2.656
D,39,Mings,4.3,4.3,Aston Villa,87,3.562,84,1.877,80,2.51,79,3.587,75,3.891
D,516,Collins,4.4,4.4,Wolves,80,2.192,76,3.215,74,3.838,73,3.578,72,2.586
M,506,Adams,4.9,4.9,Leeds,80,4.996,82,2.499,80,2.702,78,2.715,77,2.485
M,186,Iwobi,5.4,5.4,Everton,83,2.801,80,2.766,77,3.124,76,3.429,77,3.149
D,201,Ream,4.5,4.5,Fulham,86,2.526,85,3.872,81,2.252,82,3.797,81,2.632
M,440,Bentancur,5.4,5.4,Spurs,81,2.775,76,3.183,74,3.099,73,2.954,72,3.006
M,346,Andreas,4.5,4.5,Fulham,78,3.187,75,3.33,73,2.696,69,2.994,70,2.757
M,433,Højbjerg,5.5,5.5,Spurs,82,2.663,79,3.096,76,3.101,77,3.076,74,2.978
D,430,Dier,5.1,5.1,Spurs,85,2.098,82,2.955,80,3.443,80,3.034,78,3.347
D,457,Cresswell,4.8,4.8,West Ham,74,2.577,74,3.389,70,2.594,69,3.954,67,2.283
D,258,Castagne,4.5,4.5,Leicester,86,3.23,81,2.98,80,2.518,79,2.559,76,3.439
D,472,Aguerd,4.8,4.8,West Ham,84,2.485,81,3.288,78,2.544,75,4.044,73,2.359
M,116,Mac Allister,5.4,5.4,Brighton,0,-0.175,79,4.375,78,4.658,0,0.0,76,5.827
D,377,Botman,4.5,4.5,Newcastle,83,4.488,82,4.289,79,3.125,0,0.0,76,2.748
D,358,Burn,4.6,4.5,Newcastle,85,4.476,81,4.282,79,3.124,0,0.0,75,2.678
M,428,Son,11.6,11.6,Spurs,66,3.166,59,2.955,58,2.711,59,2.893,58,2.718
M,46,Douglas Luiz,4.8,4.8,Aston Villa,76,3.414,70,2.648,68,2.672,67,2.856,66,2.845
M,6,Partey,4.7,4.7,Arsenal,47,1.311,68,5.015,69,2.66,67,2.881,64,2.525
M,169,Eze,5.5,5.5,Crystal Palace,73,2.884,69,2.942,69,3.002,67,2.565,64,2.991
D,217,Robinson,4.4,4.4,Fulham,83,2.296,77,3.726,78,2.171,77,3.633,75,2.533
D,482,Semedo,5.0,5.0,Wolves,79,2.073,76,2.979,72,3.571,70,3.31,69,2.354
M,266,Dewsbury-Hall,4.9,4.9,Leicester,78,3.208,75,3.022,70,2.716,69,2.66,66,2.583
F,394,Johnson,5.6,5.6,Nott'm Forest,82,3.349,74,3.196,70,2.735,67,2.38,67,2.464
D,92,Pinnock,4.4,4.4,Brentford,83,3.922,80,2.471,75,4.041,0,0.0,72,3.632
G,574,Neto,4.5,4.5,Bournemouth,88,2.615,85,2.934,86,3.279,85,2.435,85,2.762
D,409,Walker-Peters,4.4,4.4,Southampton,67,2.257,78,3.675,75,2.422,75,2.698,72,2.946
D,170,Mitchell,4.4,4.4,Crystal Palace,75,2.474,72,2.846,71,2.859,69,2.355,68,3.33
D,443,Romero,4.9,4.9,Spurs,85,1.915,82,2.786,79,3.272,77,2.84,73,3.029
M,467,Rice,4.7,4.7,West Ham,86,2.543,81,2.92,80,2.704,79,3.037,79,2.572
M,45,Bailey,4.5,4.5,Aston Villa,70,3.723,65,2.522,62,2.306,61,2.628,61,2.591
D,423,Bella-Kotchap,4.5,4.5,Southampton,83,2.489,80,3.479,77,2.291,77,2.544,77,2.944
F,66,Solanke,5.5,5.5,Bournemouth,19,1.297,71,2.811,79,3.306,78,2.968,78,3.228
M,305,Grealish,6.8,6.8,Man City,61,2.643,55,4.196,57,2.444,55,2.348,52,1.866
F,596,Ferguson,4.6,4.6,Brighton,30,2.968,42,3.118,37,3.532,0,0.0,35,3.829
D,526,Mee,4.8,4.8,Brentford,88,3.707,84,2.174,82,3.94,0,0.0,82,3.591
D,475,Coady,4.9,4.9,Everton,83,2.102,80,1.827,79,3.031,77,3.243,75,3.134
D,558,Bueno,3.9,3.9,Wolves,73,2.262,67,2.77,64,3.015,65,3.225,62,2.04
D,128,Thiago Silva,5.5,5.5,Chelsea,72,4.027,66,2.993,58,2.233,58,2.052,57,2.004
M,387,Yates,5.0,5.0,Nott'm Forest,71,2.566,83,2.712,80,2.446,78,2.619,76,2.843
M,277,Thiago,5.2,5.2,Liverpool,70,2.709,69,2.877,65,2.164,63,3.231,62,2.188
D,286,Gomez,4.3,4.3,Liverpool,75,3.813,73,4.159,67,2.317,40,1.702,23,1.165
F,319,Álvarez,6.0,6.0,Man City,34,2.142,33,4.262,34,2.349,35,2.348,36,2.017
