Pos,ID,Name,BV,SV,Team,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts
F,318,Haaland,12.2,12.2,Man City,80,11.508,79,5.976,75,5.806,73,5.575,72,5.581,67,0.195,69,7.66,70,5.406,69,5.511
M,13,Saka,8.3,8.1,Arsenal,84,9.559,81,4.754,78,10.12,76,5.248,76,5.083,76,5.078,74,4.649,75,4.122,72,4.185
M,283,Salah,12.7,12.7,Liverpool,85,6.293,78,4.881,72,10.727,70,5.108,67,4.599,68,2.472,67,7.25,68,4.512,70,4.974
M,7,Ødegaard,7.0,7.0,Arsenal,81,8.906,81,4.609,78,9.574,75,4.642,76,4.643,76,4.788,73,4.143,74,3.823,74,4.166
G,15,Ramsdale,4.9,4.9,Arsenal,89,7.635,88,3.872,86,8.876,86,5.02,86,3.96,86,4.739,87,4.403,85,3.077,85,3.948
F,427,Kane,11.8,11.8,Spurs,87,5.41,82,5.144,82,5.245,80,5.349,79,5.546,79,0.264,77,7.998,77,4.966,76,5.412
G,133,Arrizabalaga,4.6,4.5,Chelsea,89,4.404,88,5.315,87,3.981,87,4.943,85,4.355,85,5.396,83,7.259,82,4.709,81,4.356
M,124,Mitoma,5.2,5.1,Brighton,75,4.995,75,5.243,0,0.0,74,4.91,72,9.38,70,0.215,69,8.549,68,4.907,70,5.306
D,16,Gabriel,5.2,5.2,Arsenal,86,7.195,82,3.696,80,8.695,80,4.988,79,3.845,77,4.67,74,4.128,74,2.602,75,3.674
D,26,Saliba,5.3,5.3,Arsenal,86,7.18,85,3.715,79,8.664,79,4.967,78,3.837,77,4.641,75,4.187,74,2.596,75,3.656
D,313,Zinchenko,5.1,5.1,Arsenal,76,7.594,73,3.708,71,8.47,71,4.875,73,3.958,71,4.607,69,4.121,69,2.694,67,3.329
D,285,Alexander-Arnold,7.3,7.3,Liverpool,86,5.287,85,3.488,83,10.02,78,3.888,79,4.811,78,2.188,77,5.842,75,3.254,76,4.063
G,281,Alisson,5.4,5.4,Liverpool,88,4.557,88,3.401,88,8.7,87,3.601,87,4.244,86,1.895,86,5.795,86,3.363,85,3.767
F,80,Toney,7.7,7.7,Brentford,86,3.998,82,4.652,0,0.0,81,4.8,80,8.891,80,1.22,79,7.179,79,4.06,79,4.399
D,357,Trippier,6.1,6.0,Newcastle,87,5.1,82,3.776,0,0.0,77,2.981,76,5.377,76,4.811,77,7.68,78,4.445,76,4.591
M,116,Mac Allister,5.4,5.4,Brighton,83,4.308,80,4.521,0,0.0,79,4.329,77,8.363,76,0.206,75,7.922,75,4.362,77,4.558
D,284,Robertson,6.8,6.8,Liverpool,81,5.003,77,3.352,75,8.935,75,3.474,73,4.11,72,1.99,72,5.09,71,3.011,71,3.512
G,307,Ederson,5.4,5.4,Man City,89,7.745,88,4.295,88,4.254,87,3.9,87,4.091,86,0.174,86,5.141,86,4.096,86,4.248
M,333,Fernandes,9.9,9.9,Man Utd,88,4.798,84,5.034,0,0.0,81,4.307,80,5.102,81,0.505,79,8.056,79,5.138,78,4.843
M,407,Ward-Prowse,6.2,6.2,Southampton,88,4.135,86,3.767,83,3.82,82,3.981,83,7.703,82,0.19,83,5.677,81,3.437,81,4.048
G,113,Sánchez,4.6,4.6,Brighton,89,4.103,88,4.152,0,0.0,87,4.316,86,8.143,85,0.174,85,7.477,87,3.965,86,4.253
M,301,De Bruyne,12.4,12.4,Man City,74,8.676,70,4.349,67,3.652,68,3.75,67,3.606,68,0.163,67,4.735,65,3.492,63,3.341
M,335,Rashford,7.2,6.9,Man Utd,82,4.749,77,4.84,0,0.0,76,4.272,72,4.373,72,0.454,73,7.676,71,4.468,71,4.335
D,10,White,4.7,4.7,Arsenal,68,6.083,68,3.173,67,7.076,66,3.824,66,3.056,67,3.723,65,3.183,65,2.06,64,2.76
G,478,Sá,5.0,5.0,Wolves,88,3.714,88,4.413,87,6.322,87,3.371,87,3.125,86,2.108,86,4.522,85,3.672,85,3.669
G,81,Raya,4.7,4.7,Brentford,89,3.13,88,4.54,0,0.0,87,4.198,87,8.2,86,1.068,86,5.834,86,3.708,86,4.139
G,455,Fabianski,5.0,5.0,West Ham,89,3.988,88,3.377,87,4.831,87,3.357,87,4.176,86,0.121,86,7.606,85,3.795,87,3.435
M,465,Bowen,8.0,8.0,West Ham,82,4.249,78,3.962,75,4.186,76,3.816,73,3.797,73,0.135,70,6.946,70,3.828,73,3.517
F,40,Watkins,7.1,7.1,Aston Villa,85,3.375,81,3.448,80,3.749,78,3.766,78,3.581,79,3.848,79,5.435,76,3.722,77,3.439
M,107,March,5.2,5.2,Brighton,80,3.943,77,4.004,0,0.0,76,3.902,75,7.393,75,0.17,73,6.796,71,3.909,73,4.06
G,376,Pope,5.5,5.5,Newcastle,89,4.308,88,3.198,0,0.0,86,2.86,86,4.639,86,4.257,86,6.783,87,3.901,85,4.053
G,152,Guaita,4.4,4.4,Crystal Palace,88,3.352,87,3.432,86,3.045,86,3.546,83,6.126,85,2.905,85,3.897,85,3.559,83,3.844
D,586,Estupiñán,4.6,4.6,Brighton,79,4.053,80,4.234,0,0.0,76,4.073,75,7.732,73,0.147,72,6.477,72,3.305,73,3.632
D,366,Schär,5.2,5.2,Newcastle,85,4.614,79,3.269,0,0.0,75,2.71,75,4.74,73,4.134,73,6.482,70,3.636,71,3.839
G,31,Martínez,4.9,4.9,Aston Villa,89,2.519,87,3.011,87,3.602,87,4.026,86,3.377,87,4.245,86,4.806,86,4.279,85,3.355
G,182,Pickford,4.4,4.4,Everton,90,2.75,88,3.622,87,6.389,87,3.743,87,3.455,85,3.173,84,3.177,85,2.995,85,3.699
G,2,Leno,4.5,4.5,Fulham,88,4.492,86,3.214,86,4.477,86,3.519,86,3.278,86,1.345,87,4.579,86,4.081,85,4.013
M,3,Xhaka,4.9,4.9,Arsenal,80,6.145,75,3.016,74,6.271,74,3.276,74,3.188,71,3.068,67,2.696,71,2.585,68,2.674
M,104,Groß,5.5,5.5,Brighton,75,3.751,75,3.882,0,0.0,72,3.577,72,7.017,72,0.161,71,6.569,70,3.833,71,3.984
M,261,Maddison,8.0,8.0,Leicester,69,3.567,68,3.37,69,3.351,71,3.837,72,3.841,70,0.772,69,6.367,69,3.987,70,3.36
F,210,Mitrović,7.0,6.9,Fulham,82,4.067,78,3.738,77,3.962,76,3.726,78,3.622,74,1.553,76,4.42,75,3.669,74,3.693
D,377,Botman,4.5,4.5,Newcastle,84,4.287,81,3.038,0,0.0,78,2.494,76,4.494,76,4.109,79,6.375,76,3.626,74,3.678
D,358,Burn,4.6,4.5,Newcastle,86,4.299,82,3.043,0,0.0,79,2.493,78,4.516,76,4.076,76,6.299,75,3.572,74,3.723
F,11,Nketiah,6.8,6.7,Arsenal,81,8.001,79,4.098,72,7.823,61,2.757,46,2.12,42,1.872,39,1.876,37,1.742,36,1.719
G,238,Meslier,4.5,4.5,Leeds,89,3.176,88,3.736,88,4.051,87,3.222,87,3.216,86,2.046,86,5.578,85,4.026,87,2.916
D,106,Dunk,4.7,4.7,Brighton,87,3.658,84,3.761,0,0.0,84,3.797,84,7.174,83,0.146,84,6.399,82,3.198,83,3.548
M,264,Barnes,6.7,6.7,Leicester,76,3.805,71,3.477,70,3.44,69,3.481,68,3.414,67,0.608,69,6.012,68,3.615,69,3.226
D,332,Shaw,5.3,5.0,Man Utd,83,3.917,80,4.248,0,0.0,77,2.757,76,4.669,74,0.373,75,6.209,74,4.536,75,4.212
F,191,Calvert-Lewin,7.9,7.9,Everton,32,1.549,56,2.059,77,6.728,76,3.439,72,3.217,73,3.232,73,3.294,74,3.444,72,3.371
G,254,Ward,4.0,4.0,Leicester,89,3.201,87,2.983,86,2.997,86,3.693,86,3.549,84,0.676,84,6.186,84,4.266,83,2.653
M,6,Partey,4.7,4.7,Arsenal,74,5.508,74,2.77,70,5.664,71,2.983,69,2.739,68,2.783,68,2.743,66,2.222,69,2.607
M,19,Martinelli,6.6,6.6,Arsenal,66,6.24,63,3.039,61,5.739,61,2.992,60,2.925,56,2.408,56,2.306,56,2.161,54,2.16
D,430,Dier,5.1,5.1,Spurs,87,3.116,82,3.544,79,3.222,79,3.371,79,4.17,81,0.169,79,5.14,80,2.832,78,4.141
G,422,Bazunu,4.5,4.5,Southampton,85,3.688,84,2.879,83,3.0,84,3.296,79,5.896,81,0.144,80,4.483,79,2.595,76,3.693
