Pos,ID,Name,BV,SV,Team,25_xMins,25_Pts
M,283,Salah,12.7,12.7,Liverpool,84,12.431
D,285,Alexander-Arnold,7.3,7.3,Liverpool,85,10.516
M,13,Saka,8.4,8.2,Arsenal,84,10.295
D,284,Robertson,6.8,6.8,Liverpool,81,9.747
M,7,Ødegaard,7.0,7.0,Arsenal,81,9.502
G,281,Alisson,5.4,5.4,Liverpool,89,8.844
D,313,Zinchenko,5.1,5.1,Arsenal,76,8.74
G,15,Ramsdale,4.9,4.9,Arsenal,88,8.571
D,26,Saliba,5.3,5.3,Arsenal,86,8.377
D,16,Gabriel,5.2,5.2,Arsenal,85,8.23
D,280,Van Dijk,6.5,6.5,Liverpool,88,7.914
F,11,Nketiah,6.8,6.7,Arsenal,79,7.827
D,10,White,4.7,4.7,Arsenal,70,7.753
D,276,Matip,5.9,5.9,Liverpool,80,7.454
M,480,Neves,5.4,5.4,Wolves,86,6.557
F,318,Haaland,12.2,12.2,Man City,75,6.5
M,3,Xhaka,4.9,4.9,Arsenal,76,6.467
G,182,Pickford,4.4,4.4,Everton,88,6.404
G,478,Sá,5.0,5.0,Wolves,89,6.362
M,19,Martinelli,6.5,6.5,Arsenal,65,6.314
F,297,Darwin,8.7,8.7,Liverpool,63,5.995
M,186,Iwobi,5.4,5.4,Everton,84,5.852
D,199,Tarkowski,4.4,4.4,Everton,86,5.568
D,459,Dawson,4.8,4.8,Wolves,85,5.54
F,427,Kane,11.8,11.8,Spurs,86,5.271
D,484,Kilman,4.4,4.4,Wolves,77,5.247
M,534,McNeil,5.1,5.1,Everton,70,5.188
M,275,Henderson,5.3,5.3,Liverpool,66,5.179
D,178,Coleman,4.4,4.4,Everton,68,5.036
M,577,Onana,4.8,4.8,Everton,81,5.029
D,475,Coady,4.9,4.9,Everton,78,5.003
D,194,Mykolenko,4.3,4.3,Everton,75,4.984
M,611,Gueye,4.9,4.9,Everton,79,4.964
M,282,Fabinho,5.2,5.2,Liverpool,68,4.821
G,455,Fabianski,5.0,5.0,West Ham,89,4.806
D,482,Semedo,5.0,5.0,Wolves,79,4.752
D,472,Aguerd,4.8,4.8,West Ham,84,4.575
G,2,Leno,4.5,4.5,Fulham,89,4.571
M,465,Bowen,8.0,8.0,West Ham,78,4.368
M,185,A.Doucouré,5.3,5.3,Everton,65,4.356
G,307,Ederson,5.4,5.4,Man City,89,4.338
D,463,Coufal,4.1,4.1,West Ham,76,4.328
D,312,Dias,5.9,5.9,Man City,81,4.271
F,690,João Félix,7.6,7.6,Chelsea,73,4.053
