Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
D,1,Cédric,4.4,4.4,Arsenal,4,0.0,8,0.0,9,0.0,9,0.0,9,0.0
G,2,Leno,4.5,4.5,Fulham,12,0.0,30,0.0,40,0.0,61,0.0,57,0.0
M,3,Xhaka,5.0,5.0,Arsenal,77,3.05,74,2.92,74,2.73,68,2.42,67,2.36
M,4,Elneny,4.4,4.4,Arsenal,10,0.0,12,0.0,10,0.0,12,0.0,12,0.0
D,5,Holding,4.4,4.4,Arsenal,9,0.0,10,0.0,10,0.0,7,0.0,8,0.0
M,6,Partey,5.0,5.0,Arsenal,83,3.61,81,3.58,79,3.25,76,3.21,75,3.2
M,7,Ødegaard,6.4,6.4,Arsenal,76,4.28,72,3.87,72,3.51,69,3.28,67,2.99
D,8,Tierney,4.9,4.9,Arsenal,19,1.15,29,1.26,37,1.24,46,1.25,49,1.35
M,9,Pépé,5.3,5.3,Arsenal,7,0.0,5,0.0,5,0.0,6,0.0,6,0.0
D,10,White,4.5,4.5,Arsenal,75,4.19,67,3.66,60,2.47,67,2.93,63,2.8
F,11,Nketiah,6.8,6.8,Arsenal,25,2.14,25,2.16,26,1.8,26,1.77,26,1.86
M,12,Smith Rowe,5.9,5.9,Arsenal,10,1.5,15,1.59,20,1.42,27,1.61,29,1.87
M,13,Saka,8.0,8.0,Arsenal,77,5.69,78,5.74,76,5.11,75,4.92,70,4.9
D,14,Tomiyasu,4.4,4.4,Arsenal,22,1.2,39,1.34,56,1.9,62,2.46,66,3.09
G,15,Ramsdale,5.0,5.0,Arsenal,89,4.21,88,4.21,87,4.29,87,3.78,86,4.04
D,16,Gabriel,5.0,5.0,Arsenal,81,4.37,77,4.26,71,3.77,68,3.28,67,3.32
D,17,Tavares,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,18,Sambi,4.5,4.5,Arsenal,10,1.21,9,1.18,6,1.01,5,1.06,7,1.1
M,19,Martinelli,6.3,6.3,Arsenal,75,5.39,72,5.12,71,4.4,64,3.19,63,3.23
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
