Pos,ID,Name,BV,SV,Team,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts
M,308.0,Salah,130,130,Liverpool,87.0,7.458,87.0,8.558,87.0,7.09,87.0,7.008,87.0,6.207,87.0,7.706,87.0,6.072,87.0,7.536,87.0,6.366,87.0,5.875,87.0,8.041,87.0,6.451
M,516.0,Son,96,96,Spurs,77.0,5.39,77.0,6.963,77.0,5.679,77.0,7.065,77.0,7.038,77.0,6.051,77.0,7.476,77.0,6.2,77.0,6.178,77.0,6.802,77.0,6.179,77.0,7.199
F,355.0,Haaland,140,140,Man City,92.0,5.654,92.0,4.934,92.0,7.481,92.0,6.159,0.0,0.0,92.0,5.787,92.0,12.002,92.0,4.741,92.0,7.057,92.0,5.245,92.0,5.928,92.0,5.001
F,415.0,Isak,74,74,Newcastle,75.0,5.074,75.0,5.017,75.0,4.782,75.0,5.368,75.0,6.556,75.0,5.611,75.0,4.462,75.0,4.473,75.0,4.646,75.0,6.675,75.0,5.487,75.0,5.971
M,108.0,Mbeumo,70,70,Brentford,85.0,6.243,85.0,4.821,85.0,6.029,85.0,4.902,0.0,0.0,85.0,5.796,85.0,8.468,85.0,5.797,85.0,4.874,85.0,4.446,85.0,5.476,85.0,4.69
M,19.0,Saka,88,88,Arsenal,85.0,5.365,85.0,5.647,85.0,4.47,85.0,4.756,85.0,4.345,85.0,5.333,85.0,5.115,85.0,5.287,85.0,5.228,85.0,4.543,85.0,5.141,85.0,5.43
M,353.0,Foden,75,75,Man City,74.0,5.08,74.0,4.668,74.0,5.522,74.0,5.445,0.0,0.0,74.0,5.179,74.0,9.525,74.0,4.448,74.0,5.631,74.0,4.842,74.0,5.376,74.0,4.612
M,362.0,Palmer,53,53,Chelsea,77.0,4.753,77.0,4.662,77.0,4.762,77.0,5.881,77.0,5.122,77.0,5.248,77.0,5.698,77.0,5.297,77.0,4.099,77.0,5.324,77.0,4.973,77.0,3.881
M,599.0,Diaby,68,68,Aston Villa,78.0,5.209,78.0,4.172,78.0,4.5,78.0,4.603,78.0,5.573,78.0,4.774,78.0,5.525,78.0,4.939,78.0,4.392,78.0,5.325,78.0,4.958,78.0,5.092
M,373.0,Fernandes,83,83,Man Utd,88.0,4.297,88.0,4.637,88.0,5.744,88.0,4.383,88.0,5.058,88.0,4.581,88.0,5.186,88.0,4.908,88.0,5.12,88.0,5.351,88.0,4.415,88.0,5.378
M,216.0,Sterling,70,70,Chelsea,80.0,4.513,80.0,4.551,80.0,4.751,80.0,5.361,80.0,4.959,80.0,5.011,80.0,5.097,80.0,5.066,80.0,4.027,80.0,5.135,80.0,4.862,80.0,3.842
M,303.0,Luis Díaz,74,74,Liverpool,73.0,4.996,73.0,5.799,73.0,4.798,73.0,4.649,73.0,4.356,73.0,4.962,73.0,4.345,73.0,4.929,73.0,4.402,73.0,4.267,73.0,5.185,73.0,4.43
M,557.0,Hwang,56,56,Wolves,80.0,4.21,80.0,5.589,80.0,5.276,80.0,4.91,80.0,4.263,80.0,4.433,80.0,4.996,80.0,4.44,80.0,4.713,80.0,4.142,80.0,4.561,80.0,4.465
D,430.0,Trippier,70,70,Newcastle,87.0,4.757,87.0,4.407,87.0,3.896,87.0,5.387,87.0,5.132,87.0,5.854,87.0,3.234,87.0,3.087,87.0,3.422,87.0,6.307,87.0,4.747,87.0,5.682
M,134.0,Groß,63,63,Brighton,78.0,4.099,78.0,4.373,78.0,5.206,78.0,4.134,78.0,4.668,78.0,4.42,78.0,4.731,78.0,4.926,78.0,5.039,78.0,4.798,78.0,4.223,78.0,5.092
M,143.0,Mitoma,65,65,Brighton,75.0,3.944,75.0,4.364,75.0,5.065,75.0,4.006,75.0,4.667,75.0,4.415,75.0,4.639,75.0,4.889,75.0,4.951,75.0,4.771,75.0,4.294,75.0,5.0
M,14.0,Ødegaard,83,83,Arsenal,80.0,4.932,80.0,5.013,80.0,4.003,80.0,4.261,80.0,3.91,80.0,4.787,80.0,4.679,80.0,4.802,80.0,4.787,80.0,4.054,80.0,4.612,80.0,4.922
