Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts
D,1,Cédric,4.5,4.5,Arsenal,9,0.32,10,0.38,10,0.41,13,0.61,12,0.50
G,2,Leno,4.5,4.5,Arsenal,2,0.07,4,0.17,4,0.17,5,0.22,8,0.35
M,3,Xhaka,5.0,5.0,Arsenal,81,2.58,75,2.60,74,2.56,72,2.71,72,2.53
M,4,Elneny,4.5,4.5,Arsenal,70,2.27,70,2.45,69,2.43,67,2.54,66,2.35
D,5,Holding,4.5,4.5,Arsenal,10,0.34,13,0.52,14,0.58,16,0.79,17,0.73
M,6,Partey,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,7,Ødegaard,6.5,6.5,Arsenal,74,3.43,73,3.76,72,3.60,72,4.07,71,3.69
D,8,Tierney,5.0,5.0,Arsenal,84,3.22,80,3.56,78,3.59,76,3.97,71,3.30
M,9,Pépé,5.5,5.5,Arsenal,10,0.62,13,0.89,13,0.88,15,1.12,15,1.03
D,10,White,4.5,4.5,Arsenal,69,2.34,67,2.61,66,2.67,66,3.04,65,2.65
F,11,Nketiah,7.0,7.0,Arsenal,21,1.23,21,1.35,25,1.56,26,1.85,29,1.86
M,12,Smith Rowe,6.0,6.0,Arsenal,37,2.02,36,2.19,40,2.34,39,2.57,41,2.42
M,13,Saka,8.0,8.0,Arsenal,76,4.37,75,4.81,72,4.69,72,5.37,71,4.67
D,14,Tomiyasu,4.5,4.5,Arsenal,75,2.87,75,3.27,74,3.33,71,3.64,72,3.25
G,15,Ramsdale,5.0,5.0,Arsenal,88,3.55,86,3.61,86,3.70,85,3.87,81,3.49
D,16,Gabriel,5.0,5.0,Arsenal,81,3.27,78,3.63,75,3.56,72,3.94,70,3.35
D,17,Tavares,4.5,4.5,Arsenal,5,0.20,7,0.32,8,0.36,8,0.42,10,0.51
M,18,Sambi,4.5,4.5,Arsenal,16,0.67,18,0.78,19,0.82,23,1.01,22,0.93
M,19,Martinelli,6.0,6.0,Arsenal,55,2.90,54,3.16,55,3.23,54,3.58,52,3.11
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.01,1,0.02,1,0.04,1,0.04
M,21,Maitland-Niles,5.0,5.0,Arsenal,2,0.19,3,0.24,6,0.33,6,0.34,7,0.38
