Pos,ID,Name,BV,SV,Team,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts
D,1,Cédric,4.5,4.5,Arsenal,5,0.21,5,0.21,7,0.32,7,0.29,9,0.29
G,2,Leno,4.5,4.5,Fulham,31,1.23,50,2.04,66,2.33,75,3.02,81,2.87
M,3,Xhaka,5.0,5.0,Arsenal,80,2.71,75,2.54,72,2.56,70,2.34,64,1.87
M,4,Elneny,4.5,4.5,Arsenal,11,0.41,12,0.45,12,0.47,11,0.42,13,0.43
D,5,Holding,4.5,4.5,Arsenal,8,0.28,9,0.33,8,0.32,7,0.26,7,0.22
M,6,Partey,5.0,5.0,Arsenal,83,2.98,80,2.86,78,2.98,76,2.70,75,2.31
M,7,Ødegaard,6.5,6.5,Arsenal,74,4.05,72,3.87,72,4.28,71,3.89,70,3.15
D,8,Tierney,5.0,5.0,Arsenal,25,1.27,36,1.81,47,2.48,53,2.50,53,1.79
M,9,Pépé,5.4,5.4,Arsenal,14,1.12,14,1.03,13,1.01,13,0.97,12,0.77
D,10,White,4.5,4.5,Arsenal,83,3.53,70,3.00,65,2.99,62,2.52,60,1.75
F,11,Nketiah,6.9,6.9,Arsenal,30,1.88,29,1.87,30,2.15,28,1.83,27,1.53
M,12,Smith Rowe,5.9,5.9,Arsenal,6,0.42,12,0.78,16,1.14,23,1.47,27,1.48
M,13,Saka,8.0,8.0,Arsenal,78,5.06,76,4.83,76,5.35,73,4.73,71,3.73
D,14,Tomiyasu,4.5,4.5,Arsenal,14,0.58,39,1.80,57,2.77,64,2.80,68,2.12
G,15,Ramsdale,5.0,5.0,Arsenal,88,3.93,89,3.98,88,4.08,87,3.80,86,3.33
D,16,Gabriel,5.0,5.0,Arsenal,80,3.87,78,3.73,71,3.67,69,3.19,66,2.17
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.5,4.5,Arsenal,10,0.43,9,0.40,8,0.35,6,0.24,7,0.31
M,19,Martinelli,6.1,6.1,Arsenal,69,4.51,67,4.26,64,4.53,61,3.97,57,3.04
