Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
D,1,Cédric,4.4,4.4,Arsenal,4,0.14,8,0.35,9,0.38,9,0.29,9,0.39
G,2,Leno,4.5,4.5,Fulham,12,0.51,30,1.08,40,1.61,61,2.15,57,2.07
M,3,Xhaka,5.0,5.0,Arsenal,77,2.76,74,2.75,74,2.58,68,2.05,67,2.46
M,4,Elneny,4.4,4.4,Arsenal,10,0.39,12,0.48,10,0.40,12,0.42,12,0.45
D,5,Holding,4.4,4.4,Arsenal,9,0.35,10,0.42,10,0.38,7,0.21,8,0.34
M,6,Partey,5.0,5.0,Arsenal,83,3.13,81,3.17,79,2.92,76,2.39,75,2.91
M,7,Ødegaard,6.4,6.4,Arsenal,76,4.14,72,4.20,72,3.88,69,3.09,67,3.79
D,8,Tierney,4.9,4.9,Arsenal,19,0.99,29,1.60,37,1.91,46,1.63,49,2.71
M,9,Pépé,5.3,5.3,Arsenal,7,0.57,5,0.43,5,0.42,6,0.39,6,0.53
D,10,White,4.5,4.5,Arsenal,75,3.50,67,3.11,60,2.62,67,2.02,63,3.03
F,11,Nketiah,6.8,6.8,Arsenal,25,1.61,25,1.80,26,1.77,26,1.52,26,1.84
M,12,Smith Rowe,5.9,5.9,Arsenal,10,0.73,15,1.04,20,1.33,27,1.49,29,1.92
M,13,Saka,8.0,8.0,Arsenal,77,5.21,78,5.58,76,5.04,75,4.03,70,4.96
D,14,Tomiyasu,4.4,4.4,Arsenal,22,1.10,39,1.98,56,2.57,62,2.01,66,3.35
G,15,Ramsdale,5.0,5.0,Arsenal,89,4.21,88,4.12,87,3.96,87,3.41,86,4.16
D,16,Gabriel,5.0,5.0,Arsenal,81,4.33,77,4.09,71,3.55,68,2.36,67,3.61
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.5,4.5,Arsenal,10,0.44,9,0.40,6,0.28,5,0.21,7,0.33
M,19,Martinelli,6.3,6.3,Arsenal,75,4.91,72,5.03,71,4.59,64,3.39,63,4.39
