Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,22,0.59
G,2,Leno,4.6,4.6,Fulham,86,3.02
M,3,Xhaka,4.8,4.8,Arsenal,78,3.44
M,4,Elneny,4.1,4.1,Arsenal,0,0.00
D,5,Holding,4.2,4.2,Arsenal,17,0.77
M,6,Partey,4.7,4.7,Arsenal,49,1.94
M,7,Ødegaard,6.9,6.9,Arsenal,81,5.23
D,8,Tierney,4.6,4.6,Arsenal,75,3.98
M,9,Pépé,5.3,5.3,Arsenal,0,0.00
D,10,White,5.0,5.0,Arsenal,86,3.93
F,11,Nketiah,6.3,6.3,Arsenal,28,1.94
M,12,Smith Rowe,5.6,5.6,Arsenal,17,1.26
M,13,Saka,8.0,8.0,Arsenal,73,5.75
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00
G,15,Ramsdale,4.8,4.8,Arsenal,89,3.97
D,16,Gabriel,5.2,5.2,Arsenal,86,4.33
D,17,Tavares,4.5,4.5,Arsenal,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,38,1.55
M,19,Martinelli,6.5,6.5,Arsenal,0,0.00
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,50,1.41
M,22,Torreira,4.5,4.5,Arsenal,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,11,0.82
G,24,Turner,3.8,3.8,Arsenal,0,0.00
M,25,Fábio Vieira,5.6,5.6,Arsenal,20,1.37
D,26,Saliba,4.9,4.9,Arsenal,0,0.00
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00
F,28,Jesus,8.1,8.1,Arsenal,77,5.52
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.00
F,30,Ings,6.3,6.3,West Ham,57,3.19
G,31,Martínez,5.0,5.0,Aston Villa,89,3.41
D,32,Chambers,4.2,4.2,Aston Villa,16,0.57
D,33,Digne,4.5,4.5,Aston Villa,59,2.63
M,34,Traoré,4.9,4.9,Aston Villa,19,1.35
G,35,Olsen,3.9,3.9,Aston Villa,0,0.00
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,69,2.86
D,38,Hause,4.4,4.4,Aston Villa,0,0.00
D,39,Mings,4.7,4.7,Aston Villa,81,2.49
F,40,Watkins,7.3,7.3,Aston Villa,79,5.17
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,61,3.83
D,43,Cash,4.6,4.6,Aston Villa,54,1.94
D,44,Konsa,4.4,4.4,Aston Villa,66,2.02
M,45,Bailey,4.3,4.3,Aston Villa,55,3.41
M,46,Douglas Luiz,4.8,4.8,Aston Villa,71,2.63
M,47,Ramsey,5.1,5.1,Aston Villa,63,3.23
M,48,Chukwuemeka,4.2,4.2,Chelsea,11,0.55
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.00
D,50,Diego Carlos,4.7,4.7,Aston Villa,37,1.25
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.00
F,52,Davis,5.4,5.4,Aston Villa,0,0.00
M,53,Kamara,4.8,4.8,Aston Villa,63,1.95
F,54,Archer,4.2,4.2,Aston Villa,0,0.00
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.00
D,57,Smith,4.3,4.3,Bournemouth,72,1.73
M,58,Stanislas,4.8,4.8,Bournemouth,0,0.00
D,59,Fredericks,4.4,4.4,Bournemouth,0,0.00
M,60,Brooks,5.3,5.3,Bournemouth,13,0.67
M,61,Lowe,5.2,5.2,Bournemouth,0,0.00
F,62,Moore,4.9,4.9,Bournemouth,13,0.66
M,63,Marcondes,4.7,4.7,Bournemouth,0,0.00
M,64,Lerma,4.7,4.7,Bournemouth,76,2.15
D,65,Stacey,4.2,4.2,Bournemouth,18,0.55
F,66,Solanke,5.6,5.5,Bournemouth,81,3.54
M,67,Cook,4.9,4.9,Bournemouth,33,1.10
M,68,Pearson,4.4,4.4,Bournemouth,0,0.00
M,69,Christie,5.3,5.3,Bournemouth,61,2.36
M,70,Billing,5.0,5.0,Bournemouth,58,2.16
D,71,Mepham,4.3,4.3,Bournemouth,40,0.91
G,72,Travers,4.1,4.1,Bournemouth,3,0.12
D,73,Kelly,4.3,4.3,Bournemouth,81,1.81
M,74,Dembélé,4.7,4.7,Bournemouth,0,0.00
M,75,Anthony,5.2,5.2,Bournemouth,53,2.12
D,76,Zemura,4.2,4.2,Bournemouth,2,0.05
G,77,Dennis,3.9,3.9,Bournemouth,0,0.00
D,78,Jansson,4.2,4.2,Brentford,0,0.00
M,79,Nørgaard,5.3,5.3,Brentford,0,0.00
F,80,Toney,7.1,7.1,Brentford,0,0.00
G,81,Raya,4.8,4.8,Brentford,87,3.14
D,82,Canós,5.0,5.0,Brentford,0,0.00
M,83,Dasilva,4.1,4.1,Brentford,39,1.79
D,84,Ajer,4.5,4.5,Brentford,38,1.07
D,85,Henry,4.4,4.4,Brentford,68,1.74
M,86,Janelt,5.5,5.5,Brentford,60,2.08
M,87,Ghoddos,4.8,4.8,Brentford,17,0.88
M,88,Jensen,4.8,4.8,Brentford,68,2.63
M,89,Wissa,5.3,5.3,Brentford,62,3.35
D,90,Roerslev,4.3,4.3,Brentford,26,0.75
D,91,Bech,4.5,4.5,Brentford,0,0.00
D,92,Pinnock,4.4,4.4,Brentford,77,1.94
