Pos,ID,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts
D,1,Cédric,4.2,4.2,Fulham,14,0.49,16,0.51,0,0.00,22,0.86,21,0.86,20,0.77,19,0.60
G,2,Leno,4.5,4.5,Fulham,88,3.42,88,3.29,0,0.00,86,3.61,86,3.65,86,3.59,86,2.85
M,3,Xhaka,4.9,4.9,Arsenal,74,3.17,70,2.57,68,2.74,67,2.68,63,2.09,63,2.24,60,2.57
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,2,0.11,3,0.12,4,0.21,4,0.21,5,0.18,4,0.18,4,0.19
M,6,Partey,4.7,4.7,Arsenal,53,2.29,59,2.18,60,2.41,58,2.32,59,1.94,58,2.06,58,2.42
M,7,Ødegaard,7.0,7.0,Arsenal,82,5.54,79,4.41,77,4.70,78,4.92,78,3.78,76,3.95,73,4.76
D,8,Tierney,4.6,4.6,Arsenal,10,0.55,12,0.58,14,0.76,15,0.80,17,0.67,19,0.88,20,1.14
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,73,4.07,71,3.26,69,3.77,68,3.46,69,2.31,66,2.92,65,3.61
F,11,Nketiah,6.8,6.8,Arsenal,24,1.89,36,2.31,31,2.18,20,1.53,21,1.23,20,1.23,23,1.76
M,12,Smith Rowe,5.6,5.6,Arsenal,11,0.78,11,0.71,15,0.98,16,1.09,17,0.96,23,1.33,25,1.72
M,13,Saka,8.5,8.2,Arsenal,85,6.85,83,5.47,78,5.73,75,5.75,75,4.30,76,4.68,74,5.91
D,14,Tomiyasu,4.2,4.2,Arsenal,23,1.24,30,1.38,33,1.79,35,1.77,35,1.24,39,1.75,41,2.27
G,15,Ramsdale,4.9,4.9,Arsenal,89,4.43,87,3.92,86,4.28,86,4.04,86,3.39,86,3.81,84,4.17
D,16,Gabriel,5.2,5.2,Arsenal,84,5.02,82,3.91,80,4.55,80,4.26,78,2.68,77,3.46,77,4.45
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,47,1.58,45,2.84,0,0.00,42,1.51,46,1.51,46,1.57,43,1.56
M,19,Martinelli,6.5,6.5,Arsenal,77,5.36,72,4.18,68,4.41,63,4.18,64,3.29,62,3.45,58,4.00
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,56,1.73,54,3.17,44,1.37,45,1.34,43,1.22,38,1.28,0,0.00
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
