Pos,ID,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
F,28,Jesus,8.2,8.2,Arsenal,69,5.03,70,2.94,70,4.06,71,3.57,69,4.14,69,4.54,68,4.63
M,29,Coutinho,6.6,6.6,Aston Villa,10,0.65,32,2.10,51,2.37,49,2.75,45,2.62,47,2.26,48,2.65
F,30,Ings,6.4,6.4,West Ham,59,3.09,59,2.97,56,4.96,55,2.78,55,2.69,53,3.24,51,2.76
G,31,Martínez,5.0,5.0,Aston Villa,89,3.63,88,3.83,86,3.11,87,3.60,87,3.47,86,3.09,85,3.34
D,32,Chambers,4.2,4.2,Aston Villa,21,0.74,15,0.66,8,0.22,9,0.34,9,0.32,10,0.24,10,0.34
D,33,Digne,4.6,4.6,Aston Villa,16,0.74,16,0.82,15,0.53,16,0.72,16,0.74,18,0.60,18,0.77
M,34,Traoré,4.9,4.9,Aston Villa,31,1.67,24,1.54,11,0.60,11,0.66,10,0.63,9,0.53,10,0.61
G,35,Olsen,3.9,3.9,Aston Villa,1,0.03,2,0.10,4,0.14,3,0.12,3,0.12,3,0.12,4,0.14
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,83,2.93,78,3.22,73,2.37,71,2.63,71,2.67,70,2.23,68,2.47
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.6,4.6,Aston Villa,84,2.65,82,3.22,78,1.51,78,2.59,77,2.38,76,1.33,77,2.17
F,40,Watkins,7.7,7.5,Aston Villa,86,4.42,83,5.11,82,3.60,81,4.13,78,4.23,79,3.42,82,4.17
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,75,3.66,68,4.11,64,2.80,61,3.16,62,3.30,61,2.67,62,3.13
D,43,Cash,4.6,4.6,Aston Villa,8,0.29,33,1.50,60,1.35,62,2.33,62,2.16,60,1.22,62,1.94
D,44,Konsa,4.4,4.4,Aston Villa,85,2.74,83,3.36,76,1.53,76,2.58,76,2.45,76,1.38,73,2.13
M,45,Bailey,4.4,4.4,Aston Villa,2,0.13,11,0.73,23,1.11,36,1.96,43,2.40,44,2.01,44,2.35
M,46,Douglas Luiz,4.8,4.8,Aston Villa,80,2.55,76,2.74,72,2.12,69,2.27,71,2.36,71,2.05,69,2.21
M,47,Ramsey,5.2,5.2,Aston Villa,71,3.01,66,3.32,55,2.18,51,2.34,52,2.40,51,2.02,50,2.23
M,48,Chukwuemeka,4.2,4.2,Chelsea,0,0.00,1,0.09,3,0.17,2,0.17,3,0.22,4,0.47,4,0.26
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,50,Diego Carlos,4.7,4.7,Aston Villa,11,0.39,15,0.64,23,0.54,24,0.90,24,0.83,24,0.52,26,0.84
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,53,Kamara,4.8,4.8,Aston Villa,9,0.33,36,1.24,72,1.87,73,2.13,72,2.09,70,1.83,69,1.97
F,54,Archer,4.2,4.2,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,57,Smith,4.3,4.3,Bournemouth,81,2.78,62,2.04,60,2.15,76,2.12,74,2.17,75,1.70,75,2.28
M,58,Stanislas,4.8,4.8,Bournemouth,0,0.00,0,0.00,0,0.01,1,0.06,1,0.11,2,0.19,2,0.19
D,59,Fredericks,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,60,Brooks,5.3,5.3,Bournemouth,3,0.25,4,0.32,4,0.36,5,0.34,4,0.30,5,0.34,5,0.37
M,61,Lowe,5.2,5.2,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,62,Moore,4.9,4.9,Bournemouth,1,0.07,3,0.18,4,0.22,3,0.19,4,0.24,4,0.23,5,0.28
M,63,Marcondes,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,64,Lerma,4.7,4.7,Bournemouth,79,2.47,79,2.40,77,2.50,77,2.20,74,2.13,76,2.12,74,2.17
D,65,Stacey,4.3,4.3,Bournemouth,11,0.45,26,0.98,22,0.90,17,0.57,18,0.62,18,0.52,21,0.76
F,66,Solanke,5.5,5.5,Bournemouth,85,4.63,81,4.24,79,4.79,77,3.57,78,3.69,77,3.65,77,3.74
M,67,Cook,4.9,4.9,Bournemouth,25,0.96,27,1.01,27,1.05,26,0.92,24,0.87,27,0.94,26,0.95
M,68,Pearson,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,69,Christie,5.3,5.3,Bournemouth,46,2.15,48,2.15,45,2.26,42,1.82,41,1.77,40,1.74,41,1.77
M,70,Billing,5.2,5.2,Bournemouth,72,3.10,70,2.83,67,3.03,66,2.49,63,2.42,65,2.40,62,2.42
D,71,Mepham,4.3,4.3,Bournemouth,37,1.21,63,1.89,42,1.39,39,1.04,39,1.06,42,0.89,39,1.14
G,72,Travers,4.2,4.2,Bournemouth,0,0.02,2,0.07,2,0.08,2,0.07,3,0.11,4,0.13,4,0.15
D,73,Kelly,4.3,4.3,Bournemouth,83,2.74,82,2.52,78,2.61,76,2.01,74,2.06,71,1.53,72,2.13
M,74,Dembélé,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,75,Anthony,5.2,5.2,Bournemouth,26,1.37,27,1.37,28,1.54,25,1.21,28,1.32,26,1.23,27,1.29
D,76,Zemura,4.3,4.3,Bournemouth,2,0.06,5,0.16,3,0.12,3,0.09,3,0.11,5,0.14,4,0.13
G,77,Dennis,3.9,3.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,78,Jansson,4.2,4.2,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,79,Nørgaard,5.3,5.3,Brentford,81,2.74,78,2.33,75,3.04,74,2.15,77,2.73,75,2.29,76,2.15
F,80,Toney,7.7,7.7,Brentford,77,4.18,37,1.53,26,1.67,24,1.01,17,0.94,11,0.51,7,0.28
G,81,Raya,4.9,4.9,Brentford,88,3.72,87,3.33,87,4.17,85,3.09,86,3.76,87,3.27,86,3.16
D,82,Canós,5.0,5.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,83,Dasilva,4.1,4.1,Brentford,37,1.81,40,1.68,40,2.25,42,1.71,40,2.01,39,1.70,38,1.55
D,84,Ajer,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,5,0.11,21,0.90,35,1.03,41,0.97
D,85,Henry,4.6,4.6,Brentford,83,3.06,79,2.18,76,3.73,76,1.56,71,2.88,69,1.90,68,1.53
M,86,Janelt,5.5,5.5,Brentford,38,1.59,41,1.51,43,1.93,42,1.48,44,1.81,41,1.51,41,1.44
M,87,Ghoddos,4.8,4.8,Brentford,3,0.18,6,0.34,9,0.54,10,0.47,9,0.55,9,0.47,9,0.43
M,88,Jensen,4.8,4.8,Brentford,70,2.88,65,2.36,67,3.29,65,2.28,63,2.80,63,2.36,64,2.21
M,89,Wissa,5.3,5.3,Brentford,33,1.92,48,2.27,49,3.34,50,2.29,50,3.05,51,2.48,50,2.25
D,90,Roerslev,4.3,4.3,Brentford,23,0.90,29,0.91,30,1.52,29,0.72,26,1.11,22,0.69,17,0.48
D,91,Bech,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,92,Pinnock,4.4,4.4,Brentford,87,3.22,83,2.29,83,4.13,79,1.58,76,3.07,78,2.09,79,1.71
M,93,Onyeka,4.8,4.8,Brentford,14,0.67,22,0.94,25,1.29,25,1.02,26,1.21,26,1.09,28,1.09
M,94,Baptiste,4.5,4.5,Brentford,10,0.50,13,0.59,16,0.84,17,0.75,19,0.92,18,0.82,16,0.69
F,95,Mbeumo,5.8,5.8,Brentford,76,3.58,76,3.02,74,4.35,74,3.02,73,3.87,72,3.14,71,2.81
D,96,Goode,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,97,Forss,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,98,Thompson,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,99,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,100,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,101,Lallana,4.8,4.8,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,7,0.66,18,1.62,25,1.19
G,102,Steele,3.9,3.9,Brighton,0,0.00,86,3.96,85,7.51,83,4.18,83,6.14,83,7.22,84,3.44
F,103,Welbeck,6.5,6.5,Brighton,0,0.00,48,2.90,44,5.21,41,2.71,39,3.77,38,4.47,37,2.10
M,104,Groß,5.4,5.4,Brighton,0,0.00,77,3.73,75,7.11,76,4.08,74,5.39,71,6.62,69,3.01
D,105,Duffy,4.3,4.3,Fulham,0,0.00,1,0.04,2,0.10,2,0.09,4,0.15,3,0.14,4,0.11
D,106,Dunk,4.7,4.7,Brighton,0,0.00,86,4.25,84,7.48,84,4.59,83,4.52,81,6.74,81,3.05
M,107,March,5.2,5.2,Brighton,0,0.00,82,4.44,78,8.20,78,4.61,76,5.95,76,7.68,75,3.54
D,108,Webster,4.5,4.5,Brighton,0,0.00,20,0.97,24,2.07,24,1.30,25,1.43,27,2.28,27,1.04
D,109,Veltman,4.6,4.6,Brighton,0,0.00,29,1.43,46,3.92,53,2.87,52,2.95,54,4.43,51,1.94
F,110,Maupay,5.7,5.7,Everton,28,1.49,18,1.02,14,0.83,15,0.77,14,0.67,16,0.88,16,1.03
M,111,Trossard,6.7,6.7,Arsenal,38,3.14,38,1.88,36,2.45,34,2.01,37,2.51,38,2.83,36,2.75
D,112,Cucurella,4.9,4.9,Chelsea,0,0.00,25,1.22,24,0.77,26,1.25,24,1.33,23,1.41,22,0.95
G,113,Sánchez,4.5,4.5,Brighton,0,0.00,4,0.20,5,0.42,7,0.33,7,0.49,7,0.57,6,0.25
D,114,Lamptey,4.2,4.2,Brighton,0,0.00,8,0.42,18,1.69,25,1.44,28,1.92,27,2.52,28,1.18
M,115,Alzate,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,116,Mac Allister,5.5,5.4,Brighton,0,0.00,78,4.62,78,8.86,74,4.86,75,6.30,74,8.25,75,3.89
M,117,Moder,4.4,4.4,Brighton,0,0.00,0,0.00,2,0.17,3,0.18,4,0.33,4,0.40,4,0.21
M,118,Mwepu,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,119,Sarmiento,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.01,6,0.59,9,1.04,10,0.58
M,120,Caicedo,5.0,5.0,Brighton,0,0.00,78,2.56,77,4.85,67,2.40,75,3.93,72,4.52,73,2.18
M,121,Richards,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,122,Roberts,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,123,Undav,5.0,5.0,Brighton,0,0.00,19,1.32,17,2.27,13,0.96,12,1.25,11,1.52,13,0.84
M,124,Mitoma,5.7,5.6,Brighton,0,0.00,80,4.57,79,8.58,79,4.89,78,6.25,76,8.04,76,3.77
F,125,Enciso,4.6,4.6,Brighton,0,0.00,45,2.20,36,3.41,35,1.81,32,2.61,31,2.94,29,1.34
M,126,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,127,Azpilicueta,4.7,4.7,Chelsea,0,0.00,18,0.89,20,0.64,19,0.85,16,0.86,17,1.04,16,0.68
D,128,Thiago Silva,5.4,5.4,Chelsea,0,0.00,78,3.68,74,1.90,70,3.09,63,3.43,62,2.98,62,2.37
D,129,Alonso,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,130,Jorginho,5.7,5.7,Arsenal,26,1.22,32,1.08,29,1.18,31,1.15,31,1.26,32,1.40,33,1.43
M,131,Barkley,4.9,4.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,132,Kovacic,4.9,4.9,Chelsea,0,0.00,58,2.13,57,1.73,57,2.06,55,2.21,54,3.27,51,1.75
G,133,Arrizabalaga,4.7,4.7,Chelsea,0,0.00,76,3.57,72,2.71,72,3.24,71,3.59,71,5.33,69,2.97
M,134,Kanté,4.8,4.8,Chelsea,0,0.00,46,1.73,46,1.45,41,1.54,44,1.79,43,2.71,43,1.49
M,135,Ziyech,5.5,5.5,Chelsea,0,0.00,7,0.49,7,0.43,8,0.54,10,0.70,10,1.10,9,0.57
M,136,Loftus-Cheek,5.0,5.0,Chelsea,0,0.00,17,0.87,19,0.85,18,0.89,21,1.14,20,1.78,19,0.90
F,137,Werner,7.9,7.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,138,Kenedy,3.9,3.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,139,Chilwell,5.9,5.9,Chelsea,0,0.00,72,4.12,70,2.13,66,3.52,65,4.33,66,3.87,65,3.01
M,140,Pulisic,5.6,5.6,Chelsea,0,0.00,18,1.09,22,1.09,23,1.37,23,1.48,22,2.09,24,1.28
D,141,Chalobah,4.4,4.4,Chelsea,0,0.00,11,0.49,11,0.30,12,0.51,10,0.51,9,0.49,8,0.29
M,142,Mount,7.2,7.2,Chelsea,0,0.00,46,2.78,45,2.04,44,2.62,46,3.18,45,4.02,43,2.33
D,143,Sarr,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,144,Hudson-Odoi,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,145,Havertz,7.4,7.4,Chelsea,0,0.00,65,3.94,64,2.85,62,3.70,57,3.97,62,5.48,59,3.14
D,146,James,5.8,5.8,Chelsea,0,0.00,66,3.98,63,2.05,61,3.39,61,4.31,60,3.73,61,2.99
G,147,Mendy,4.8,4.8,Chelsea,0,0.00,14,0.61,18,0.65,18,0.77,19,0.92,19,1.35,21,0.85
M,148,Gallagher,5.6,5.6,Chelsea,0,0.00,13,0.68,14,0.60,18,0.91,16,0.90,17,1.39,20,0.93
M,149,Gilmour,4.2,4.2,Brighton,0,0.00,19,0.86,17,1.52,16,0.80,15,1.23,13,1.20,15,0.64
F,150,Broja,5.2,5.2,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,151,Ampadu,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,152,Guaita,4.4,4.4,Crystal Palace,0,0.00,0,0.00,7,0.29,39,1.42,72,3.21,86,3.46,86,4.03
D,153,Tomkins,3.9,3.9,Crystal Palace,1,0.04,3,0.09,4,0.13,4,0.10,5,0.18,7,0.22,6,0.23
M,154,McArthur,4.8,4.8,Crystal Palace,17,0.80,19,0.81,21,0.96,17,0.69,17,0.82,19,0.80,16,0.81
F,155,Benteke,5.5,5.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,156,Ward,4.4,4.4,Crystal Palace,83,3.44,82,2.62,79,2.82,76,1.78,73,2.98,73,2.29,74,3.30
D,157,Clyne,4.5,4.5,Crystal Palace,1,0.04,6,0.22,7,0.28,16,0.50,20,0.88,21,0.78,19,0.92
M,158,Milivojevic,4.2,4.2,Crystal Palace,25,1.23,22,0.99,26,1.20,24,1.00,22,1.04,20,0.90,21,1.04
M,159,J.Ayew,5.2,5.2,Crystal Palace,66,3.29,67,2.85,64,3.03,58,2.32,55,2.88,57,2.50,56,2.97
M,160,Zaha,7.2,7.2,Crystal Palace,0,0.00,0,0.00,8,0.44,37,1.64,67,4.08,77,3.84,76,4.74
M,161,Schlupp,4.7,4.7,Crystal Palace,69,3.24,69,2.68,67,2.96,63,2.29,61,2.75,58,2.26,57,2.68
G,162,Butland,4.4,4.4,Man Utd,0,0.00,1,0.06,2,0.17,2,0.08,4,0.19,3,0.30,4,0.16
M,163,Hughes,4.8,4.8,Crystal Palace,16,0.75,18,0.83,20,0.94,19,0.80,17,0.83,17,0.76,16,0.79
M,164,Riedewald,4.2,4.2,Crystal Palace,3,0.14,4,0.15,3,0.13,2,0.08,2,0.09,2,0.08,3,0.12
D,165,Andersen,4.5,4.5,Crystal Palace,85,3.73,83,2.79,81,3.06,79,1.94,78,3.39,77,2.55,77,3.66
F,166,Edouard,5.0,5.0,Crystal Palace,59,3.18,61,2.87,60,3.09,59,2.50,54,2.97,53,2.51,53,2.97
D,167,Guéhi,4.4,4.4,Crystal Palace,87,3.65,83,2.69,82,2.96,78,1.83,79,3.24,79,2.48,78,3.51
F,168,Mateta,5.1,5.1,Crystal Palace,28,1.79,27,1.54,27,1.70,25,1.32,22,1.54,21,1.25,22,1.52
M,169,Eze,5.5,5.5,Crystal Palace,76,4.16,71,3.27,66,3.44,63,2.64,60,3.29,60,2.70,60,3.31
D,170,Mitchell,4.4,4.4,Crystal Palace,81,3.60,77,2.68,74,2.90,73,1.89,73,3.19,69,2.39,70,3.36
M,171,Olise,5.5,5.5,Crystal Palace,77,3.95,75,3.27,72,3.52,69,2.74,68,3.57,64,2.81,65,3.53
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,173,Ebiowei,4.2,4.2,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,174,Ferguson,3.9,3.9,Crystal Palace,5,0.23,7,0.23,10,0.37,8,0.23,8,0.32,9,0.30,8,0.36
G,175,Johnstone,4.4,4.4,Crystal Palace,88,3.94,88,3.56,80,3.40,50,1.82,17,0.77,4,0.15,4,0.17
G,176,Begović,3.9,3.9,Everton,1,0.05,2,0.07,3,0.12,4,0.13,4,0.14,4,0.16,4,0.16
F,177,Rondón,4.9,4.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,178,Coleman,4.2,4.2,Everton,0,0.00,9,0.34,19,0.73,39,1.01,53,1.23,56,2.11,54,2.54
M,179,Townsend,5.4,5.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.09
D,180,Keane,4.2,4.2,Everton,84,2.81,82,2.44,78,2.60,76,1.67,74,1.44,76,2.61,73,3.18
M,181,Dele,5.3,5.3,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,182,Pickford,4.4,4.4,Everton,89,3.50,88,3.35,87,3.42,86,3.12,86,3.09,86,3.45,86,3.78
M,183,Allan,4.8,4.8,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,184,André Gomes,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,185,A.Doucouré,5.3,5.3,Everton,0,0.00,72,2.58,71,2.74,66,2.22,68,2.13,68,2.49,67,2.94
M,186,Iwobi,5.0,5.0,Everton,84,3.09,75,2.69,73,2.81,73,2.42,71,2.28,70,2.60,69,3.07
M,187,Gbamin,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,188,Mina,4.3,4.3,Everton,2,0.08,3,0.10,6,0.21,6,0.17,6,0.16,16,0.61,7,0.29
M,189,Gray,5.2,5.2,Everton,62,2.96,49,2.29,41,2.06,44,1.82,43,1.70,42,1.95,44,2.51
M,190,Davies,4.9,4.9,Everton,37,1.48,15,0.65,13,0.60,14,0.58,16,0.68,16,0.71,19,0.92
F,191,Calvert-Lewin,7.9,7.9,Everton,18,1.04,52,2.52,70,3.56,70,2.90,71,2.78,71,3.32,70,4.12
D,192,Holgate,4.2,4.2,Everton,15,0.48,10,0.29,9,0.29,7,0.18,6,0.15,12,0.39,6,0.27
D,193,Godfrey,4.3,4.3,Everton,60,2.05,59,1.82,57,1.94,53,1.25,51,1.09,49,1.74,54,2.35
D,194,Mykolenko,4.1,4.1,Everton,40,1.40,35,1.12,34,1.20,37,0.91,38,0.83,38,1.36,33,1.50
M,195,Gordon,5.1,5.1,Newcastle,39,2.16,39,2.12,39,2.49,33,1.79,30,3.28,30,2.05,31,1.52
D,196,Branthwaite,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,197,Patterson,3.9,3.9,Everton,66,2.18,63,1.90,58,1.97,42,1.00,34,0.77,31,1.10,31,1.34
D,198,Nkounkou,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,199,Tarkowski,4.2,4.2,Everton,86,2.70,83,2.34,80,2.53,79,1.59,79,1.41,79,2.56,79,3.31
M,200,Cairney,4.7,4.7,Fulham,15,0.79,18,0.85,20,1.73,22,1.13,24,1.16,22,1.11,23,0.98
D,201,Ream,4.6,4.6,Fulham,87,2.92,84,2.04,81,2.71,80,2.87,80,2.65,80,2.93,79,1.35
M,202,Knockaert,4.7,4.7,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,203,Chalobah,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,204,Kebano,5.4,5.4,Fulham,4,0.27,5,0.29,11,1.08,14,0.91,15,0.85,15,0.85,16,0.77
M,205,De Cordova-Reid,5.4,5.4,Fulham,44,2.24,43,1.92,47,3.66,43,2.23,40,1.87,44,2.07,42,1.65
D,206,Bryan,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,207,Gazzaniga,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,208,Kongolo,3.9,3.9,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,209,Tosin,4.4,4.4,Fulham,71,2.53,69,1.79,65,2.23,62,2.37,60,2.09,62,2.38,62,1.10
F,210,Mitrović,6.6,6.6,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,76,3.98,76,4.17,77,3.10
