Pos,ID,Name,BV,SV,Team,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts
D,1,Cédric,4.2,4.2,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,2,Leno,4.5,4.5,Fulham,88,3.26,0,0.00,87,3.71,86,3.73,84,3.55,84,3.63
M,3,Xhaka,4.9,4.9,Arsenal,76,2.85,71,2.84,68,2.76,64,2.10,64,2.33,65,2.76
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,2,0.08,3,0.15,3,0.14,4,0.14,3,0.14,5,0.23
M,6,Partey,4.7,4.7,Arsenal,74,2.86,70,2.78,69,2.76,69,2.22,66,2.40,64,2.71
M,7,Ødegaard,7.0,7.0,Arsenal,72,4.24,81,5.00,77,4.88,78,3.68,76,4.14,75,4.97
D,8,Tierney,4.6,4.6,Arsenal,8,0.38,11,0.60,14,0.74,15,0.56,14,0.69,19,1.12
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,71,3.38,71,3.86,70,3.66,68,2.25,68,3.15,65,3.63
F,11,Nketiah,6.7,6.7,Arsenal,11,0.72,31,2.12,34,2.46,24,1.40,19,1.19,22,1.68
M,12,Smith Rowe,5.6,5.6,Arsenal,21,1.31,18,1.19,17,1.13,15,0.87,21,1.27,22,1.51
M,13,Saka,8.5,8.2,Arsenal,86,5.89,81,5.95,78,5.99,78,4.34,76,4.86,76,6.18
D,14,Tomiyasu,4.2,4.2,Arsenal,26,1.26,29,1.57,32,1.70,34,1.21,36,1.69,39,2.18
G,15,Ramsdale,4.9,4.9,Arsenal,89,4.04,88,4.33,88,4.20,87,3.37,86,3.88,84,4.20
D,16,Gabriel,5.2,5.2,Arsenal,85,4.19,82,4.63,80,4.36,78,2.60,77,3.63,76,4.48
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,69,3.93,0,0.00,51,1.80,52,1.70,51,1.73,49,1.75
M,19,Martinelli,6.5,6.5,Arsenal,77,5.31,69,4.52,65,4.34,62,3.20,60,3.44,57,4.07
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,61,3.59,58,1.69,55,1.63,56,1.54,54,1.72,0,0.00
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,51,2.88,32,2.03,17,1.14,12,0.67,9,0.59,10,0.72
G,24,Turner,3.8,3.8,Arsenal,1,0.04,2,0.11,2,0.11,3,0.14,4,0.16,6,0.28
M,25,Fábio Vieira,5.6,5.6,Arsenal,31,1.79,22,1.34,15,0.96,14,0.71,14,0.77,14,0.90
D,26,Saliba,5.3,5.3,Arsenal,87,3.74,82,4.05,80,3.82,80,2.34,80,3.33,76,3.85
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,28,Jesus,7.9,7.9,Arsenal,2,0.16,27,1.73,53,3.39,62,3.10,67,3.65,65,4.35
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.00,0,0.00,12,1.29,21,1.43,43,2.24,48,2.50
F,30,Ings,6.4,6.4,West Ham,67,3.86,0,0.00,50,5.88,47,2.55,48,2.33,50,2.91
G,31,Martínez,4.9,4.9,Aston Villa,88,3.51,88,3.96,87,6.55,87,3.92,86,3.38,85,3.22
D,32,Chambers,4.2,4.2,Aston Villa,29,0.97,26,1.21,9,0.49,14,0.61,11,0.36,12,0.36
D,33,Digne,4.6,4.6,Aston Villa,40,1.69,40,2.23,38,2.80,38,2.08,38,1.60,37,1.50
M,34,Traoré,4.9,4.9,Aston Villa,14,0.78,12,0.80,9,1.10,10,0.69,6,0.43,7,0.46
G,35,Olsen,3.9,3.9,Aston Villa,2,0.07,2,0.09,3,0.24,3,0.14,3,0.13,4,0.17
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,81,2.82,77,3.30,72,4.90,73,3.20,70,2.52,67,2.39
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.3,4.3,Aston Villa,87,2.56,80,3.40,78,3.88,74,3.14,73,2.13,72,1.97
F,40,Watkins,7.3,7.3,Aston Villa,86,4.22,82,5.06,81,7.42,79,4.82,80,3.83,81,3.83
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,68,3.30,66,4.01,64,5.96,60,3.73,58,2.92,56,2.80
D,43,Cash,4.6,4.6,Aston Villa,77,2.54,75,3.50,71,4.06,68,3.25,69,2.28,69,2.13
D,44,Konsa,4.4,4.4,Aston Villa,86,2.65,67,2.92,44,2.37,46,2.02,45,1.40,49,1.42
M,45,Bailey,4.4,4.4,Aston Villa,54,2.74,52,3.29,48,4.71,45,2.91,40,2.13,41,2.15
M,46,Douglas Luiz,4.8,4.8,Aston Villa,83,2.52,80,2.84,71,4.28,70,2.57,68,2.13,70,2.18
M,47,Ramsey,5.2,5.2,Aston Villa,63,2.59,62,3.15,58,4.71,54,2.83,54,2.30,52,2.23
M,48,Chukwuemeka,4.3,4.3,Chelsea,5,0.32,1,0.09,2,0.29,3,0.21,1,0.10,0,0.00
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,50,Diego Carlos,4.7,4.7,Aston Villa,6,0.23,29,1.36,59,3.20,59,2.64,61,1.91,58,1.71
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,53,Kamara,4.8,4.8,Aston Villa,0,0.00,5,0.17,71,3.82,75,2.38,73,2.03,75,2.05
F,54,Archer,4.2,4.2,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,57,Smith,4.3,4.3,Bournemouth,75,1.48,71,1.87,65,4.08,57,1.53,60,1.25,60,2.03
M,58,Stanislas,4.8,4.8,Bournemouth,0,0.00,1,0.10,5,0.74,7,0.47,7,0.41,6,0.43
