ID,Name,Pos,Team,Price,22_fix,22_xmins,22_pts,22_g,22_a,22_cs,22_bon,22_dmins,22_likelihood,23_fix,23_xmins,23_pts,23_g,23_a,23_cs,23_bon,23_dmins,23_likelihood,24_fix,24_xmins,24_pts,24_g,24_a,24_cs,24_bon,24_dmins,24_likelihood,25_fix,25_xmins,25_pts,25_g,25_a,25_cs,25_bon,25_dmins,25_likelihood,26_fix,26_xmins,26_pts,26_g,26_a,26_cs,26_bon,26_dmins,26_likelihood
1,Cédric,2,FUL,42,(A): CHE,13.08,0.406,0.002,0.011,0.011,0.012,13.08,1,(H): NFO,16.84,0.753,0.005,0.024,0.038,0.055,16.84,1,(A): BHA,17.2,0.509,0.003,0.016,0.016,0.015,17.2,1,(H): WOL,18.08,0.767,0.005,0.024,0.04,0.047,18.08,1,(A): BRE,20.11,0.685,0.005,0.022,0.029,0.025,20.11,1
2,Leno,1,FUL,45,(A): CHE,88.75,3.308,0,0.001,0.143,0.306,88.75,1,(H): NFO,87.77,3.837,0,0.002,0.325,0.388,87.77,1,(A): BHA,85.86,3.171,0,0.002,0.115,0.301,85.86,1,(H): WOL,85.5,3.679,0,0.002,0.289,0.407,85.5,1,(A): BRE,84.84,3.229,0,0.002,0.168,0.294,84.84,1
3,Xhaka,3,ARS,50,(A): EVE,78.07,2.96,0.085,0.114,0.414,0.214,78.07,1,(H): BRE(H): MCI,75.79,5.336,0.145,0.192,0.63,0.361,76.41 75.17,1 1,(A): AVL,71.96,2.557,0.067,0.086,0.332,0.175,71.96,1,(H): EVE(A): LEI,70.94,3.078,0.091,0.117,0.404,0.22,69.05 71.22,0.15 1,(H): BOU,68.12,3.008,0.105,0.134,0.446,0.22,68.12,1
4,Elneny,3,ARS,41,(A): EVE,0,0,0,0,0,0,0,1,(H): BRE(H): MCI,0,0,0,0,0,0,0 0,1 1,(A): AVL,0,0,0,0,0,0,0,1,(H): EVE(A): LEI,0,0,0,0,0,0,0 0,0.15 1,(H): BOU,0,0,0,0,0,0,0,1
5,Holding,2,ARS,42,(A): EVE,0.78,0.041,0,0,0.002,0.003,0.78,1,(H): BRE(H): MCI,1.39,0.13,0.001,0,0.005,0.008,1.42 1.36,1 1,(A): AVL,2.54,0.119,0.001,0.001,0.005,0.009,2.54,1,(H): EVE(A): LEI,2.61,0.14500000000000002,0.001,0.001,0.006,0.011,1.77 2.74,0.15 1,(H): BOU,2.88,0.156,0.002,0.001,0.008,0.013,2.88,1
6,Partey,3,ARS,47,(A): EVE,47.36,1.802,0.058,0.052,0.239,0.114,47.36,1,(H): BRE(H): MCI,68.4,4.763999999999999,0.145,0.131,0.5569999999999999,0.28500000000000003,67.37 69.44,1 1,(A): AVL,69.36,2.429,0.072,0.063,0.319,0.148,69.36,1,(H): EVE(A): LEI,66.68,2.84,0.093,0.082,0.376,0.18,66.85 66.66,0.15 1,(H): BOU,64.28,2.768,0.109,0.093,0.417,0.18,64.28,1
7,Ødegaard,3,ARS,69,(A): EVE,83.48,4.829,0.226,0.315,0.447,0.532,83.48,1,(H): BRE(H): MCI,80.15,8.465,0.37,0.533,0.6739999999999999,0.918,79.92 80.37,1 1,(A): AVL,78.47,4.112,0.174,0.245,0.369,0.454,78.47,1,(A): LEI(H): EVE,78.12,5.116,0.23500000000000001,0.33099999999999996,0.453,0.569,78.07 78.43,1 0.15,(H): BOU,76.36,5.277,0.277,0.395,0.512,0.543,76.36,1
8,Tierney,2,ARS,46,(A): EVE,18.13,0.984,0.008,0.031,0.058,0.102,18.13,1,(H): BRE(H): MCI,19.02,1.817,0.013999999999999999,0.057999999999999996,0.101,0.155,19.28 18.75,1 1,(A): AVL,20.05,1.007,0.007,0.029,0.061,0.102,20.05,1,(H): EVE(A): LEI,22.21,1.347,0.009999999999999998,0.043,0.088,0.132,21.05 22.38,0.15 1,(H): BOU,20.97,1.305,0.013,0.048,0.093,0.129,20.97,1
9,Pépé,3,ARS,53,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
10,White,2,ARS,47,(A): EVE,73.94,3.872,0.025,0.058,0.406,0.405,73.94,1,(H): BRE(H): MCI,73.34,6.487,0.043,0.1,0.637,0.5760000000000001,74.67 72,1 1,(A): AVL,71.53,3.412,0.02,0.045,0.344,0.351,71.53,1,(H): EVE(A): LEI,70.82,4.088,0.028,0.059000000000000004,0.419,0.421,70.53 70.86,0.15 1,(H): BOU,72.62,4.351,0.032,0.072,0.494,0.425,72.62,1
