rank,name,confed,off,def,spi
136,Sudan,CAF,0.96,1.69,29.64
137,Burundi,CAF,0.8,1.46,29.59
138,Tajikistan,AFC,0.85,1.54,29.24
139,Kazakhstan,UEFA,0.83,1.57,28.5
140,Cyprus,UEFA,0.88,1.65,28.27
141,Malta,UEFA,0.81,1.61,27.3
142,Kyrgyzstan,AFC,0.94,1.8,27.18
143,Bermuda,CONCACAF,1.16,2.17,26.4
144,Martinique,CONCACAF,0.97,1.91,26.23
145,Liberia,CAF,0.76,1.61,26.01
146,Dominican Republic,CONCACAF,0.78,1.64,25.94
147,Lithuania,UEFA,0.81,1.75,25.13
148,Lebanon,AFC,0.66,1.52,25.11
149,Puerto Rico,CONCACAF,0.81,1.82,23.96
150,Chad,CAF,0.82,1.87,23.52
151,India,AFC,0.7,1.74,22.65
152,Lesotho,CAF,0.69,1.75,22.24
153,Zanzibar,CAF,0.49,1.47,21.39
154,Turkmenistan,AFC,0.87,2.1,21.3
155,Fiji,OFC,0.66,1.78,21.26
156,South Sudan,CAF,0.68,1.84,20.76
157,St. Kitts and Nevis,CONCACAF,0.88,2.19,20.44
158,French Guiana,CONCACAF,0.91,2.24,20.41
159,Indonesia,AFC,0.89,2.23,20.07
160,Solomon Islands,OFC,0.75,2.02,19.97
161,Eritrea,CAF,0.79,2.1,19.77
162,Guyana,CONCACAF,1.04,2.55,19.16
163,Malaysia,AFC,0.78,2.14,19.09
164,Tahiti,OFC,0.77,2.19,18.23
165,Grenada,CONCACAF,0.6,1.91,18.12
166,Montserrat,CONCACAF,0.97,2.55,17.86
167,Antigua and Barbuda,CONCACAF,0.79,2.3,17.37
168,New Caledonia,OFC,0.69,2.17,16.84
169,Andorra,UEFA,0.45,1.82,15.87
170,Vanuatu,OFC,0.64,2.21,15.4
171,St. Lucia,CONCACAF,0.48,2.0,14.46
172,Sao Tome and Principe,CAF,0.81,2.63,14.31
173,Hong Kong,AFC,0.39,1.86,14.04
174,Belize,CONCACAF,0.5,2.16,13.36
175,Guadeloupe,CONCACAF,0.62,2.45,12.91
176,Dominica,CONCACAF,0.42,2.08,12.53
177,Papua New Guinea,OFC,0.69,2.65,12.25
178,Gibraltar,UEFA,0.53,2.34,12.21
179,Mauritius,CAF,0.53,2.34,12.14
180,St. Vincent and the Grenadines,CONCACAF,0.62,2.58,11.74
181,Singapore,AFC,0.56,2.46,11.72
182,Philippines,AFC,0.53,2.39,11.7
183,Afghanistan,AFC,0.59,2.59,11.12
184,Barbados,CONCACAF,0.4,2.24,10.69
185,Yemen,AFC,0.44,2.54,9.1
186,Somalia,CAF,0.52,2.74,8.96
187,Nepal,AFC,0.51,2.77,8.7
188,Djibouti,CAF,0.75,3.33,8.45
189,Aruba,CONCACAF,0.56,3.0,7.91
190,Seychelles,CAF,0.32,2.63,6.87
191,Liechtenstein,UEFA,0.32,2.65,6.78
192,Maldives,AFC,0.38,2.97,5.85
193,Mongolia,AFC,0.22,2.56,5.77
194,Chinese Taipei,AFC,0.53,3.37,5.75
195,Bahamas,CONCACAF,0.37,3.07,5.29
196,Bonaire,CONCACAF,0.45,3.3,5.24
197,San Marino,UEFA,0.23,2.78,4.96
198,Myanmar,AFC,0.46,3.42,4.87
199,Bangladesh,AFC,0.21,2.79,4.68
200,Cayman Islands,CONCACAF,0.27,3.08,4.24
201,Cambodia,AFC,0.39,3.45,4.1
202,Guam,AFC,0.52,3.82,4.07
203,Northern Mariana Islands,AFC,0.43,4.27,2.4
204,St. Martin,CONCACAF,0.25,3.76,2.26
205,Sri Lanka,AFC,0.24,3.84,2.05
206,Anguilla,CONCACAF,0.22,3.83,1.94
207,Pakistan,AFC,0.2,3.92,1.71
208,Laos,AFC,0.2,4.12,1.44
209,US Virgin Islands,CONCACAF,0.2,4.16,1.38
210,British Virgin Islands,CONCACAF,0.25,4.5,1.21
211,Brunei,AFC,0.2,4.38,1.14
212,Bhutan,AFC,0.22,4.62,0.98
213,Cook Islands,OFC,0.2,4.72,0.85
214,Sint Maarten,CONCACAF,0.28,5.21,0.72
215,Tuvalu,OFC,0.38,5.62,0.7
216,Timor-Leste,AFC,0.27,5.25,0.69
217,Macau,AFC,0.2,5.01,0.66
218,Turks and Caicos Islands,CONCACAF,0.43,6.27,0.47
219,Samoa,OFC,0.2,5.78,0.34
220,Tonga,OFC,0.2,6.08,0.26
