Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,23,0.91,25,1.03,27,0.62
G,2,Leno,4.6,4.6,Fulham,86,3.46,83,3.50,84,2.95
M,3,Xhaka,4.8,4.8,Arsenal,75,2.88,72,2.98,71,3.12
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,12,0.43,18,0.83,20,1.04
M,6,Partey,4.7,4.7,Arsenal,39,1.45,42,1.67,41,1.71
M,7,Ødegaard,6.7,6.7,Arsenal,82,4.60,79,4.70,77,5.02
D,8,Tierney,4.6,4.6,Arsenal,81,3.30,76,3.85,66,3.80
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00
D,10,White,5.0,5.0,Arsenal,85,2.95,83,3.69,82,4.11
F,11,Nketiah,6.3,6.3,Arsenal,10,0.64,15,0.96,19,1.31
M,12,Smith Rowe,5.6,5.6,Arsenal,5,0.44,8,0.59,10,0.77
M,13,Saka,8.1,8.1,Arsenal,81,5.38,79,5.55,75,5.79
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00
G,15,Ramsdale,4.8,4.8,Arsenal,88,3.51,88,3.87,87,4.11
D,16,Gabriel,5.2,5.2,Arsenal,86,3.30,84,3.92,82,4.32
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,24,1.00,19,0.81,22,0.94
M,19,Martinelli,6.7,6.7,Arsenal,71,4.27,67,4.26,66,4.64
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,69,2.03,66,1.68,61,1.60
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,9,0.57,10,0.70,12,0.85
G,24,Turner,3.8,3.8,Arsenal,2,0.07,2,0.11,3,0.14
M,25,Fábio Vieira,5.6,5.6,Arsenal,8,0.51,13,0.80,15,1.01
D,26,Saliba,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00
F,28,Jesus,8.1,8.1,Arsenal,73,4.60,70,4.49,65,4.63
M,29,Coutinho,6.6,6.6,Aston Villa,33,2.11,39,1.90,44,2.53
F,30,Ings,6.3,6.3,West Ham,40,2.08,34,2.10,35,1.94
G,31,Martínez,5.0,5.0,Aston Villa,88,3.50,88,3.10,88,3.45
D,32,Chambers,4.2,4.2,Aston Villa,3,0.14,4,0.11,5,0.18
D,33,Digne,4.5,4.5,Aston Villa,16,0.78,21,0.71,21,0.96
M,34,Traoré,4.9,4.9,Aston Villa,4,0.33,3,0.23,6,0.44
G,35,Olsen,3.9,3.9,Aston Villa,2,0.08,1,0.05,2,0.08
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,80,3.08,74,2.38,72,2.72
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00
D,39,Mings,4.8,4.8,Aston Villa,86,2.84,83,1.58,80,2.47
