Pos,ID,Name,BV,SV,Team,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts
D,1,Cédric,4.2,4.2,Fulham,12,0.47,16,0.64,19,0.73,19,0.79,19,0.65,18,0.96,16,0.69,17,0.66,17,0.77
G,2,Leno,4.5,4.5,Fulham,88,3.64,88,3.71,88,3.58,87,3.63,85,3.27,85,6.15,83,3.48,84,3.52,83,3.76
M,3,Xhaka,4.9,4.9,Arsenal,72,3.15,70,2.34,71,2.69,66,3.00,65,2.03,63,2.42,64,2.22,65,2.52,64,2.67
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,44,2.18,26,0.81,14,0.57,19,0.99,19,0.53,23,1.01,21,0.77,22,0.94,20,0.94
M,6,Partey,4.7,4.7,Arsenal,52,2.10,75,2.33,69,2.44,69,2.91,69,2.00,67,2.38,65,2.11,66,2.38,67,2.62
M,7,Ødegaard,6.8,6.8,Arsenal,81,5.37,78,3.64,76,4.15,76,5.16,73,2.94,76,4.13,76,3.63,75,4.15,74,4.51
D,8,Tierney,4.6,4.6,Arsenal,15,0.84,16,0.63,21,1.07,24,1.43,23,0.80,25,1.28,25,1.08,23,1.14,27,1.51
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,82,4.32,80,2.51,78,3.57,76,4.34,76,2.13,74,3.47,75,2.89,75,3.44,76,3.85
F,11,Nketiah,6.5,6.5,Arsenal,1,0.04,7,0.39,12,0.73,17,1.25,17,0.84,17,1.06,19,1.03,18,1.12,18,1.21
M,12,Smith Rowe,5.6,5.6,Arsenal,8,0.61,8,0.51,14,0.86,18,1.30,20,1.00,21,1.27,22,1.25,21,1.33,23,1.48
M,13,Saka,8.6,8.3,Arsenal,84,6.64,82,4.47,80,5.13,78,6.48,77,3.58,75,4.84,75,4.27,73,4.84,72,5.28
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,15,Ramsdale,4.9,4.9,Arsenal,89,4.28,89,3.43,88,3.96,87,4.41,85,3.18,85,3.88,85,3.57,83,3.75,84,4.01
D,16,Gabriel,5.2,5.2,Arsenal,87,4.91,84,2.79,83,3.99,80,4.99,79,2.27,77,3.76,77,3.11,76,3.68,78,4.26
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,70,2.22,69,2.04,67,2.07,66,2.12,66,1.96,62,1.96,63,1.76,66,2.19,65,1.94
M,19,Martinelli,6.6,6.6,Arsenal,71,4.76,65,3.19,63,3.64,56,4.08,55,2.44,57,3.35,54,2.81,55,3.26,55,3.57
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,23,0.78,24,0.75,26,0.91,0,0.00,21,0.78,21,0.69,21,0.74,23,0.83,25,0.78
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,10,0.74,9,0.55,8,0.52,11,0.78,8,0.43,8,0.54,9,0.53,10,0.63,10,0.70
G,24,Turner,3.8,3.8,Arsenal,1,0.04,1,0.05,2,0.10,3,0.18,5,0.20,4,0.20,5,0.22,6,0.28,6,0.26
M,25,Fábio Vieira,5.6,5.6,Arsenal,16,1.07,16,0.83,14,0.82,14,0.95,14,0.67,14,0.81,14,0.71,16,0.93,16,1.02
D,26,Saliba,5.2,5.2,Arsenal,42,2.03,64,1.86,80,3.38,76,4.03,77,1.97,76,3.27,78,2.77,76,3.20,76,3.60
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,28,Jesus,7.9,7.9,Arsenal,67,4.61,65,3.32,66,3.78,68,4.80,73,3.12,72,4.01,72,3.63,71,4.09,71,4.49
M,29,Coutinho,6.6,6.6,Aston Villa,18,1.95,32,2.16,50,2.67,50,2.58,49,3.08,50,2.24,49,2.59,51,2.79,50,2.26
F,30,Ings,6.4,6.4,West Ham,55,6.09,50,2.64,50,2.26,45,2.52,47,2.39,46,4.17,46,2.29,46,2.28,46,2.82
G,31,Martínez,4.9,4.9,Aston Villa,88,6.72,88,4.02,88,3.49,87,3.30,87,3.79,85,3.07,87,3.54,86,3.35,85,3.04
D,32,Chambers,4.2,4.2,Aston Villa,17,1.01,23,1.06,19,0.64,21,0.63,18,0.78,16,0.36,14,0.47,13,0.41,11,0.22
D,33,Digne,4.6,4.6,Aston Villa,26,2.09,29,1.66,26,1.13,28,1.14,26,1.36,27,0.88,28,1.24,31,1.35,29,0.90
M,34,Traoré,4.9,4.9,Aston Villa,7,0.93,8,0.62,6,0.41,6,0.44,7,0.52,7,0.42,7,0.48,7,0.47,7,0.42
G,35,Olsen,3.9,3.9,Aston Villa,2,0.14,2,0.07,2,0.06,3,0.11,2,0.11,4,0.16,3,0.13,4,0.15,4,0.14
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,79,5.45,73,3.27,69,2.53,71,2.49,69,2.93,70,2.22,69,2.49,68,2.54,67,2.13
