Pos,ID,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,14,0.47,19,1.01,17,0.75,21,0.83,21,0.94,20,0.54
G,2,Leno,4.6,4.6,Fulham,87,3.19,86,6.01,86,3.60,86,3.47,84,3.63,85,2.99
M,3,Xhaka,4.9,4.9,Arsenal,57,1.62,71,2.53,70,2.23,69,2.50,69,2.75,67,2.69
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.05
D,5,Holding,4.2,4.2,Arsenal,72,1.39,66,2.67,55,1.70,48,1.75,40,1.87,32,1.61
M,6,Partey,4.7,4.7,Arsenal,71,1.99,71,2.46,68,2.12,67,2.35,65,2.49,66,2.54
M,7,Ødegaard,6.7,6.7,Arsenal,83,3.06,80,4.07,78,3.43,77,4.07,75,4.34,75,4.42
D,8,Tierney,4.6,4.6,Arsenal,21,0.60,26,1.24,25,0.97,27,1.24,25,1.34,26,1.46
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,5.0,5.0,Arsenal,83,1.62,80,3.35,79,2.54,77,2.92,77,3.72,75,3.88
F,11,Nketiah,6.4,6.4,Arsenal,6,0.25,8,0.44,11,0.57,13,0.78,14,0.87,18,1.17
M,12,Smith Rowe,5.6,5.6,Arsenal,5,0.34,7,0.51,9,0.55,13,0.83,15,1.05,19,1.27
M,13,Saka,8.4,8.4,Arsenal,84,3.55,80,4.81,78,3.98,75,4.78,75,5.15,72,5.12
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,15,Ramsdale,4.9,4.9,Arsenal,89,3.09,87,3.76,86,3.34,87,3.58,87,4.00,87,4.18
D,16,Gabriel,5.3,5.3,Arsenal,87,1.72,82,3.48,80,2.60,77,3.03,76,3.76,76,3.99
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,17,0.66,19,0.72,18,0.66,14,0.57,15,0.56,16,0.65
M,19,Martinelli,6.9,6.9,Arsenal,77,3.06,71,3.91,70,3.32,68,3.92,67,4.24,63,4.11
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,41,1.35,39,1.10,37,1.18,39,1.27,42,1.16,39,1.14
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,5,0.28,7,0.41,6,0.38,6,0.40,6,0.42,5,0.38
G,24,Turner,3.8,3.8,Arsenal,1,0.04,3,0.11,4,0.16,3,0.12,3,0.14,3,0.13
M,25,Fábio Vieira,5.6,5.6,Arsenal,8,0.43,7,0.49,11,0.60,13,0.81,12,0.79,15,0.95
D,26,Saliba,5.0,5.0,Arsenal,3,0.06,13,0.52,25,0.76,36,1.29,47,2.17,61,2.99
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,28,Jesus,8.2,8.2,Arsenal,77,3.22,73,4.10,70,3.44,71,4.31,70,4.51,69,4.60
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.00,0,0.00,6,0.38,23,1.42,38,1.86,46,2.67
F,30,Ings,6.4,6.4,West Ham,52,2.60,53,4.88,50,2.66,50,2.57,48,3.01,49,2.75
G,31,Martínez,5.0,5.0,Aston Villa,69,3.00,87,3.13,88,3.73,87,3.51,87,3.05,87,3.40
D,32,Chambers,4.2,4.2,Aston Villa,29,1.34,30,0.82,32,1.33,22,0.85,14,0.34,12,0.40
D,33,Digne,4.6,4.6,Aston Villa,27,1.48,27,0.99,23,1.14,23,1.08,19,0.68,17,0.74
M,34,Traoré,4.9,4.9,Aston Villa,35,2.11,37,1.79,33,1.79,23,1.40,13,0.73,9,0.58
G,35,Olsen,3.9,3.9,Aston Villa,20,0.84,3,0.11,2,0.10,3,0.10,3,0.10,3,0.10
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,81,3.40,80,2.69,79,2.92,73,2.82,71,2.32,71,2.74
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
