Pos,ID,Name,BV,SV,Team,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,33,1.20,36,1.46,37,1.19,38,1.78,38,1.59,37,1.47,36,1.57,38,0.85
G,2,Leno,4.6,4.6,Fulham,89,3.52,87,3.59,87,3.26,86,6.19,85,3.56,84,3.48,84,3.66,84,3.05
M,3,Xhaka,4.9,4.9,Arsenal,74,2.92,69,3.30,70,2.19,70,2.71,68,2.32,68,2.66,67,2.83,66,2.86
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04
D,5,Holding,4.2,4.2,Arsenal,39,1.77,29,1.61,21,0.58,18,0.76,16,0.56,20,0.83,18,0.89,21,1.08
M,6,Partey,4.7,4.7,Arsenal,73,2.67,69,3.01,67,2.02,65,2.38,66,2.15,66,2.39,65,2.58,65,2.64
M,7,Ødegaard,6.7,6.7,Arsenal,84,4.69,78,5.60,79,3.23,79,4.32,77,3.56,77,4.29,78,4.76,77,4.88
D,8,Tierney,4.6,4.6,Arsenal,17,0.86,19,1.17,24,0.81,23,1.15,22,0.92,23,1.15,24,1.38,23,1.38
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.9,4.9,Arsenal,84,3.88,81,4.64,80,2.19,80,3.64,77,2.80,77,3.38,75,3.95,75,4.11
F,11,Nketiah,6.4,6.4,Arsenal,4,0.29,12,0.98,12,0.64,16,1.03,18,1.00,18,1.17,21,1.44,21,1.49
M,12,Smith Rowe,5.6,5.6,Arsenal,8,0.56,16,1.21,16,0.86,18,1.11,20,1.10,18,1.16,20,1.30,20,1.34
M,13,Saka,8.6,8.6,Arsenal,83,5.54,79,6.88,78,3.72,75,4.90,76,4.10,76,5.10,75,5.57,75,5.80
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,15,Ramsdale,4.9,4.9,Arsenal,88,4.02,87,4.40,87,3.25,87,3.93,86,3.58,87,3.79,86,4.19,85,4.26
D,16,Gabriel,5.3,5.3,Arsenal,86,4.30,82,5.24,79,2.30,79,3.87,78,3.00,76,3.57,78,4.39,79,4.65
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,22,0.83,21,0.82,22,0.81,24,0.91,20,0.70,19,0.75,17,0.64,19,0.77
