Pos,ID,Name,BV,SV,Team,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,14,0.54,19,0.76,20,0.84,24,0.58
G,2,Leno,4.6,4.6,Fulham,89,3.52,88,3.51,87,3.63,87,3.04
M,3,Xhaka,4.8,4.8,Arsenal,75,2.50,71,2.60,70,2.85,69,2.89
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,22,0.69,15,0.56,18,0.82,19,0.93
M,6,Partey,4.7,4.7,Arsenal,53,1.73,57,2.00,61,2.32,62,2.42
M,7,Ødegaard,6.6,6.6,Arsenal,82,3.76,80,4.23,78,4.49,77,4.63
D,8,Tierney,4.6,4.6,Arsenal,26,0.93,26,1.15,29,1.53,26,1.47
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,5.0,5.0,Arsenal,84,2.36,80,2.91,79,3.65,78,3.88
F,11,Nketiah,6.4,6.4,Arsenal,8,0.43,11,0.67,15,0.91,15,0.94
M,12,Smith Rowe,5.6,5.6,Arsenal,4,0.30,7,0.49,9,0.62,10,0.68
M,13,Saka,8.2,8.2,Arsenal,83,4.45,80,4.97,77,5.22,77,5.50
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
G,15,Ramsdale,4.8,4.8,Arsenal,87,3.24,86,3.50,87,3.90,85,4.00
D,16,Gabriel,5.2,5.2,Arsenal,67,2.01,84,3.14,81,3.85,78,4.01
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,18,0.74,17,0.76,17,0.69,19,0.83
M,19,Martinelli,6.7,6.7,Arsenal,69,3.40,66,3.77,63,3.90,64,4.21
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,42,1.31,41,1.30,37,1.04,31,0.93
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,7,0.40,8,0.52,11,0.71,9,0.63
G,24,Turner,3.8,3.8,Arsenal,3,0.10,3,0.14,3,0.14,5,0.22
M,25,Fábio Vieira,5.6,5.6,Arsenal,8,0.48,11,0.66,14,0.85,16,1.01
D,26,Saliba,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,8,0.40
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
F,28,Jesus,8.1,8.1,Arsenal,72,3.73,69,4.13,68,4.34,67,4.43
M,29,Coutinho,6.6,6.6,Aston Villa,20,1.25,39,2.48,47,2.33,46,2.62
F,30,Ings,6.4,6.4,West Ham,42,2.32,43,2.23,41,2.62,43,2.37
G,31,Martínez,5.0,5.0,Aston Villa,88,3.74,89,3.56,87,3.02,86,3.35
D,32,Chambers,4.2,4.2,Aston Villa,10,0.40,8,0.32,8,0.20,7,0.24
D,33,Digne,4.5,4.5,Aston Villa,10,0.50,12,0.56,15,0.52,16,0.69
M,34,Traoré,4.9,4.9,Aston Villa,12,0.73,7,0.50,5,0.37,8,0.53
G,35,Olsen,3.9,3.9,Aston Villa,2,0.06,2,0.06,3,0.12,4,0.15
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
