Pos,ID,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,21,0.88,28,0.64
G,2,Leno,4.6,4.6,Fulham,86,3.53,85,2.97
M,3,Xhaka,4.8,4.8,Arsenal,76,3.05,75,3.40
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,13,0.54,19,0.93
M,6,Partey,4.7,4.7,Arsenal,40,1.55,43,1.79
M,7,Ødegaard,6.8,6.8,Arsenal,82,4.77,79,5.21
D,8,Tierney,4.6,4.6,Arsenal,81,3.71,76,4.27
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00
D,10,White,5.0,5.0,Arsenal,86,3.40,83,4.12
F,11,Nketiah,6.3,6.3,Arsenal,19,1.23,24,1.66
M,12,Smith Rowe,5.6,5.6,Arsenal,11,0.76,15,1.10
M,13,Saka,8.1,8.1,Arsenal,82,5.73,80,6.35
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00,0,0.00
G,15,Ramsdale,4.8,4.8,Arsenal,88,3.70,89,4.14
D,16,Gabriel,5.2,5.2,Arsenal,86,3.69,82,4.39
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,39,1.43,37,1.49
M,19,Martinelli,6.6,6.6,Arsenal,0,0.00,0,0.00
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,82,2.01,75,1.94
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,21,1.33,22,1.53
G,24,Turner,3.8,3.8,Arsenal,2,0.07,1,0.05
M,25,Fábio Vieira,5.6,5.6,Arsenal,14,0.87,18,1.20
D,26,Saliba,4.9,4.9,Arsenal,0,0.00,0,0.00
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00
F,28,Jesus,8.1,8.1,Arsenal,76,4.82,73,5.13
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.00,0,0.00
F,30,Ings,6.3,6.3,West Ham,32,1.96,36,1.91
G,31,Martínez,5.0,5.0,Aston Villa,88,3.06,88,3.35
D,32,Chambers,4.2,4.2,Aston Villa,3,0.10,6,0.21
D,33,Digne,4.5,4.5,Aston Villa,18,0.61,23,0.99
M,34,Traoré,4.9,4.9,Aston Villa,10,0.56,10,0.67
G,35,Olsen,3.9,3.9,Aston Villa,2,0.07,2,0.07
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,79,2.52,77,2.85
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00
D,39,Mings,4.8,4.8,Aston Villa,86,1.53,82,2.30
F,40,Watkins,7.4,7.4,Aston Villa,87,3.81,85,4.69
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,70,3.00,66,3.55
D,43,Cash,4.6,4.6,Aston Villa,46,1.02,52,1.68
D,44,Konsa,4.4,4.4,Aston Villa,80,1.45,75,2.14
M,45,Bailey,4.3,4.3,Aston Villa,49,2.20,55,2.96
M,46,Douglas Luiz,4.8,4.8,Aston Villa,79,2.32,76,2.53
M,47,Ramsey,5.1,5.1,Aston Villa,64,2.44,63,2.83
M,48,Chukwuemeka,4.2,4.2,Chelsea,4,0.46,2,0.15
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.00,0,0.00
D,50,Diego Carlos,4.7,4.7,Aston Villa,20,0.43,26,0.82
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.00,0,0.00
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00
M,53,Kamara,4.8,4.8,Aston Villa,58,1.60,65,1.93
F,54,Archer,4.2,4.2,Aston Villa,0,0.00,0,0.00
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.00,0,0.00
D,57,Smith,4.3,4.3,Bournemouth,77,1.58,75,2.01
M,58,Stanislas,4.8,4.8,Bournemouth,0,0.00,0,0.00
D,59,Fredericks,4.4,4.4,Bournemouth,0,0.00,0,0.00
M,60,Brooks,5.3,5.3,Bournemouth,9,0.52,12,0.66
M,61,Lowe,5.2,5.2,Bournemouth,0,0.00,0,0.00
F,62,Moore,4.9,4.9,Bournemouth,9,0.47,12,0.61
M,63,Marcondes,4.7,4.7,Bournemouth,0,0.00,0,0.00
M,64,Lerma,4.7,4.7,Bournemouth,81,2.30,78,2.30
D,65,Stacey,4.2,4.2,Bournemouth,13,0.38,18,0.60
F,66,Solanke,5.7,5.6,Bournemouth,86,4.03,81,3.89
M,67,Cook,4.9,4.9,Bournemouth,25,0.88,28,0.98
M,68,Pearson,4.4,4.4,Bournemouth,0,0.00,0,0.00
M,69,Christie,5.3,5.3,Bournemouth,67,2.57,64,2.58
M,70,Billing,5.1,5.1,Bournemouth,78,2.94,75,2.91
D,71,Mepham,4.3,4.3,Bournemouth,36,0.70,34,0.87
G,72,Travers,4.1,4.1,Bournemouth,1,0.04,3,0.12
D,73,Kelly,4.3,4.3,Bournemouth,86,1.55,82,2.02
M,74,Dembélé,4.7,4.7,Bournemouth,0,0.00,0,0.00
M,75,Anthony,5.2,5.2,Bournemouth,33,1.49,36,1.65
D,76,Zemura,4.2,4.2,Bournemouth,0,0.00,1,0.04
G,77,Dennis,3.9,3.9,Bournemouth,0,0.00,0,0.00
D,78,Jansson,4.2,4.2,Brentford,0,0.00,0,0.00
M,79,Nørgaard,5.3,5.3,Brentford,0,0.00,11,0.37
F,80,Toney,7.2,7.2,Brentford,0,0.00,0,0.00
G,81,Raya,4.8,4.8,Brentford,89,3.26,87,3.17
D,82,Canós,5.0,5.0,Brentford,0,0.00,0,0.00
M,83,Dasilva,4.1,4.1,Brentford,33,1.53,34,1.46
D,84,Ajer,4.5,4.5,Brentford,23,0.69,28,0.78
D,85,Henry,4.4,4.4,Brentford,80,2.13,77,1.83
M,86,Janelt,5.5,5.5,Brentford,72,2.38,69,2.17
M,87,Ghoddos,4.8,4.8,Brentford,8,0.44,9,0.45
M,88,Jensen,4.8,4.8,Brentford,77,2.79,73,2.50
M,89,Wissa,5.3,5.3,Brentford,68,3.42,64,2.85
D,90,Roerslev,4.3,4.3,Brentford,13,0.37,19,0.52
D,91,Bech,4.5,4.5,Brentford,0,0.00,0,0.00
D,92,Pinnock,4.4,4.4,Brentford,86,2.28,83,1.95
M,93,Onyeka,4.8,4.8,Brentford,48,1.82,46,1.66
M,94,Baptiste,4.5,4.5,Brentford,21,0.98,20,0.88
F,95,Mbeumo,5.6,5.6,Brentford,81,3.75,79,3.29
D,96,Goode,3.9,3.9,Brentford,0,0.00,0,0.00
F,97,Forss,4.5,4.5,Brentford,0,0.00,0,0.00
D,98,Thompson,4.0,4.0,Brentford,0,0.00,0,0.00
M,99,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00
G,100,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00
M,101,Lallana,4.8,4.8,Brighton,0,0.00,5,0.27
G,102,Steele,4.0,3.9,Brighton,89,7.52,88,3.49
F,103,Welbeck,6.5,6.5,Brighton,37,4.75,35,2.00
M,104,Groß,5.4,5.4,Brighton,74,7.24,71,3.09
D,105,Duffy,4.2,4.2,Fulham,17,0.65,19,0.37
D,106,Dunk,4.8,4.8,Brighton,85,6.86,81,2.71
M,107,March,5.2,5.2,Brighton,0,0.00,0,0.00
D,108,Webster,4.5,4.5,Brighton,8,0.54,24,0.88
D,109,Veltman,4.6,4.6,Brighton,24,1.93,39,1.42
F,110,Maupay,5.6,5.6,Everton,34,2.04,23,1.64
M,111,Trossard,6.6,6.6,Arsenal,68,4.40,64,4.71
D,112,Cucurella,4.9,4.9,Chelsea,6,0.42,18,0.74
G,113,Sánchez,4.5,4.5,Brighton,0,0.00,0,0.00
D,114,Lamptey,4.2,4.2,Brighton,0,0.00,5,0.20
M,115,Alzate,4.4,4.4,Brighton,0,0.00,0,0.00
M,116,Mac Allister,5.6,5.5,Brighton,79,9.45,78,4.05
M,117,Moder,4.4,4.4,Brighton,0,0.00,0,0.00
M,118,Mwepu,5.3,5.3,Brighton,0,0.00,0,0.00
M,119,Sarmiento,4.5,4.5,Brighton,0,0.00,2,0.15
M,120,Caicedo,5.0,5.0,Brighton,76,4.65,72,2.06
M,121,Richards,4.5,4.5,Brighton,0,0.00,0,0.00
D,122,Roberts,4.0,4.0,Brighton,0,0.00,0,0.00
F,123,Undav,5.0,5.0,Brighton,37,4.56,40,2.18
M,124,Mitoma,5.7,5.6,Brighton,76,8.49,70,3.44
F,125,Enciso,4.6,4.6,Brighton,60,6.06,58,2.69
M,126,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00
D,127,Azpilicueta,4.7,4.7,Chelsea,33,1.72,24,0.85
D,128,Thiago Silva,5.4,5.4,Chelsea,78,3.08,70,2.10
D,129,Alonso,5.3,5.3,Chelsea,0,0.00,0,0.00
M,130,Jorginho,5.7,5.7,Arsenal,61,2.21,61,2.39
M,131,Barkley,4.9,4.9,Chelsea,0,0.00,0,0.00
M,132,Kovacic,4.9,4.9,Chelsea,61,3.70,62,2.08
G,133,Arrizabalaga,4.6,4.6,Chelsea,55,3.88,57,2.19
M,134,Kanté,4.8,4.8,Chelsea,9,0.77,26,1.00
M,135,Ziyech,5.5,5.5,Chelsea,14,1.50,12,0.73
M,136,Loftus-Cheek,5.0,5.0,Chelsea,33,2.55,27,1.17
F,137,Werner,7.9,7.9,Chelsea,0,0.00,0,0.00
D,138,Kenedy,3.9,3.9,Chelsea,0,0.00,0,0.00
D,139,Chilwell,5.6,5.6,Chelsea,4,0.28,32,1.22
M,140,Pulisic,5.6,5.6,Chelsea,10,1.06,10,0.58
D,141,Chalobah,4.4,4.4,Chelsea,55,2.18,47,1.41
