Pos,ID,Name,BV,SV,Team,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
D,1,Cédric,4.2,4.2,Fulham,0,0.00,18,0.71,19,0.82,19,0.74,17,0.56,14,0.48,16,0.77,17,0.71,16,0.66
G,2,Leno,4.5,4.5,Fulham,0,0.00,87,3.58,85,3.66,85,3.55,84,2.79,84,3.27,85,5.33,83,3.48,84,3.54
M,3,Xhaka,4.9,4.9,Arsenal,73,3.10,71,2.93,70,2.28,67,2.50,63,2.82,67,2.03,64,2.34,64,2.16,60,2.23
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,1,0.07,1,0.08,2,0.08,3,0.15,3,0.14,4,0.12,3,0.13,4,0.17,3,0.12
M,6,Partey,4.7,4.7,Arsenal,73,2.96,71,2.82,70,2.23,68,2.47,64,2.74,65,1.92,64,2.25,65,2.13,64,2.29
M,7,Ødegaard,6.9,6.9,Arsenal,82,5.21,79,4.96,78,3.66,76,4.13,74,5.01,74,3.00,73,3.85,72,3.44,73,3.96
D,8,Tierney,4.6,4.6,Arsenal,9,0.48,11,0.60,14,0.51,14,0.67,16,0.96,16,0.54,17,0.85,18,0.77,18,0.84
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,71,3.98,72,3.75,70,2.21,68,3.17,64,3.67,66,1.84,67,3.03,67,2.56,67,2.92
F,11,Nketiah,6.6,6.6,Arsenal,4,0.27,23,1.56,21,1.15,21,1.26,20,1.48,17,0.84,18,1.08,18,0.98,18,1.14
M,12,Smith Rowe,5.6,5.6,Arsenal,6,0.48,8,0.58,10,0.57,13,0.83,18,1.30,17,0.87,20,1.17,21,1.17,20,1.24
M,13,Saka,8.5,8.2,Arsenal,84,6.36,80,5.99,79,4.27,77,4.89,78,6.33,77,3.53,77,4.65,76,4.17,73,4.68
D,14,Tomiyasu,4.2,4.2,Arsenal,25,1.36,27,1.43,29,1.01,32,1.53,38,2.20,36,1.11,35,1.62,40,1.60,40,1.80
G,15,Ramsdale,4.9,4.9,Arsenal,88,4.43,88,4.18,87,3.31,86,3.86,86,4.31,87,3.23,85,3.77,85,3.54,86,3.73
D,16,Gabriel,5.2,5.2,Arsenal,86,5.06,84,4.64,83,2.67,81,3.88,79,4.75,80,2.19,78,3.60,75,2.96,76,3.48
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,19,Martinelli,6.6,6.6,Arsenal,71,4.69,66,4.37,63,3.15,59,3.44,56,4.03,58,2.53,55,3.10,54,2.80,56,3.25
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,29,0.93,36,1.13,34,1.02,38,1.29,0,0.00,30,1.07,34,1.03,32,1.07,34,1.13
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,7,0.52,7,0.51,7,0.44,7,0.49,11,0.80,8,0.42,8,0.49,7,0.45,10,0.63
G,24,Turner,3.8,3.8,Arsenal,2,0.08,2,0.11,3,0.12,4,0.18,4,0.19,4,0.13,5,0.22,5,0.22,4,0.17
M,25,Fábio Vieira,5.6,5.6,Arsenal,10,0.63,12,0.77,11,0.56,14,0.80,15,1.00,14,0.67,14,0.75,14,0.72,16,0.89
D,26,Saliba,5.3,5.3,Arsenal,87,4.44,83,3.94,82,2.28,80,3.34,78,4.05,79,1.92,77,3.16,74,2.56,74,2.94
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,28,Jesus,7.9,7.9,Arsenal,49,3.27,55,3.64,61,3.07,62,3.48,65,4.58,73,3.12,72,3.82,73,3.56,73,4.11
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.00,10,1.14,25,1.70,41,2.17,50,2.47,50,3.06,51,2.27,47,2.47,48,2.55
F,30,Ings,6.4,6.4,West Ham,0,0.00,52,5.68,47,2.42,49,2.24,49,2.73,47,2.37,46,3.89,46,2.29,47,2.27
G,31,Martínez,4.9,4.9,Aston Villa,89,3.96,89,6.68,88,4.00,88,3.46,87,3.32,86,3.70,87,3.11,86,3.44,86,3.34
D,32,Chambers,4.2,4.2,Aston Villa,23,1.06,6,0.35,8,0.38,7,0.23,8,0.26,10,0.41,11,0.25,13,0.43,12,0.38
D,33,Digne,4.6,4.6,Aston Villa,39,2.09,39,2.91,40,2.24,38,1.59,39,1.54,40,1.99,41,1.24,38,1.64,38,1.58
M,34,Traoré,4.9,4.9,Aston Villa,15,1.01,8,0.98,8,0.57,7,0.46,7,0.44,6,0.44,7,0.44,7,0.47,9,0.54
G,35,Olsen,3.9,3.9,Aston Villa,1,0.03,1,0.11,2,0.07,2,0.07,3,0.12,3,0.14,3,0.12,4,0.16,4,0.15
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,82,3.26,78,5.23,73,3.18,69,2.48,69,2.42,69,2.83,69,2.20,68,2.44,66,2.44
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.3,4.3,Aston Villa,84,3.41,79,3.92,71,3.06,75,2.22,73,1.99,74,2.75,74,1.40,71,2.26,73,2.15
F,40,Watkins,7.4,7.4,Aston Villa,85,5.22,82,7.48,81,4.93,82,3.89,80,3.62,80,4.43,78,3.18,78,3.60,76,3.76
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,71,4.23,66,5.99,62,3.82,59,2.92,59,2.78,60,3.45,57,2.43,59,2.84,59,2.98
D,43,Cash,4.6,4.6,Aston Villa,80,3.62,75,4.24,69,3.31,72,2.37,72,2.22,67,2.84,66,1.46,67,2.38,67,2.24
D,44,Konsa,4.4,4.4,Aston Villa,69,2.92,44,2.41,50,2.26,46,1.44,46,1.36,49,1.91,48,1.00,49,1.64,47,1.47
M,45,Bailey,4.4,4.4,Aston Villa,57,3.46,48,4.53,45,2.82,43,2.18,40,1.97,39,2.31,40,1.79,44,2.21,42,2.20
M,46,Douglas Luiz,4.8,4.8,Aston Villa,83,2.90,75,4.44,72,2.64,69,2.17,71,2.18,67,2.33,68,1.96,67,2.12,69,2.18
M,47,Ramsey,5.2,5.2,Aston Villa,67,3.30,58,4.56,54,2.76,54,2.28,50,2.07,51,2.45,51,1.92,48,2.04,50,2.15
M,48,Chukwuemeka,4.3,4.3,Chelsea,5,0.35,5,0.66,7,0.39,6,0.34,4,0.06,5,0.32,6,0.37,7,0.42,6,0.41
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,50,Diego Carlos,4.7,4.7,Aston Villa,27,1.22,59,3.19,60,2.73,59,1.86,62,1.83,58,2.31,60,1.26,58,1.96,61,1.92
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,53,Kamara,4.8,4.8,Aston Villa,6,0.23,73,3.91,76,2.43,77,2.13,75,2.05,76,2.27,74,1.89,75,2.08,73,2.04
F,54,Archer,4.2,4.2,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,57,Smith,4.3,4.3,Bournemouth,62,1.65,70,4.03,63,1.61,61,1.22,62,2.09,58,1.82,62,2.07,66,1.67,64,2.02
M,58,Stanislas,4.8,4.8,Bournemouth,2,0.19,2,0.38,3,0.22,3,0.20,3,0.25,3,0.23,3,0.23,4,0.30,4,0.30
D,59,Fredericks,4.4,4.4,Bournemouth,34,1.06,26,1.79,28,0.84,30,0.76,30,1.12,36,1.26,30,1.11,29,0.89,29,1.03
M,60,Brooks,5.3,5.3,Bournemouth,2,0.14,0,0.07,1,0.05,1,0.09,1,0.10,2,0.17,2,0.18,2,0.13,2,0.14
M,61,Lowe,5.2,5.2,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,62,Moore,5.0,5.0,Bournemouth,8,0.39,5,0.53,6,0.30,7,0.33,8,0.43,7,0.36,10,0.56,7,0.35,9,0.47
M,63,Marcondes,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,64,Lerma,4.7,4.7,Bournemouth,83,2.35,79,4.70,78,2.22,78,2.04,75,2.30,74,2.21,75,2.31,72,1.99,74,2.14
D,65,Stacey,4.3,4.3,Bournemouth,4,0.14,3,0.23,5,0.14,6,0.17,7,0.25,10,0.34,7,0.24,7,0.20,7,0.24
F,66,Solanke,5.5,5.5,Bournemouth,85,3.92,82,8.03,79,3.63,78,3.10,77,3.92,75,3.63,75,3.90,77,3.21,75,3.40
M,67,Cook,4.9,4.9,Bournemouth,50,1.59,36,2.51,32,1.09,33,1.06,35,1.24,38,1.31,36,1.27,36,1.19,37,1.24
M,68,Pearson,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,69,Christie,5.3,5.3,Bournemouth,21,0.99,8,0.88,9,0.47,10,0.48,11,0.60,12,0.64,13,0.70,13,0.61,12,0.62
M,70,Billing,5.1,5.1,Bournemouth,76,2.80,69,5.48,69,2.58,69,2.30,66,2.71,65,2.54,66,2.73,67,2.39,64,2.43
D,71,Mepham,4.3,4.3,Bournemouth,12,0.30,9,0.49,14,0.32,14,0.27,15,0.48,39,1.12,16,0.49,18,0.44,18,0.53
G,72,Travers,4.2,4.2,Bournemouth,2,0.06,1,0.07,2,0.08,3,0.11,2,0.09,2,0.10,3,0.12,4,0.14,3,0.11
D,73,Kelly,4.3,4.3,Bournemouth,81,2.04,74,4.02,73,1.70,70,1.25,67,2.16,72,2.13,69,2.18,67,1.60,69,2.06
M,74,Dembélé,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,75,Anthony,5.2,5.2,Bournemouth,52,2.25,29,2.94,29,1.38,29,1.27,30,1.57,32,1.58,29,1.53,32,1.45,30,1.41
D,76,Zemura,4.3,4.3,Bournemouth,21,0.67,31,2.03,33,0.95,34,0.80,35,1.28,44,1.46,34,1.25,35,1.00,32,1.12
G,77,Dennis,3.9,3.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,78,Jansson,4.2,4.2,Brentford,32,1.32,32,1.65,31,1.12,35,1.30,35,1.51,31,0.85,37,1.82,37,0.82,32,1.41
M,79,Nørgaard,5.3,5.3,Brentford,81,3.06,79,4.81,74,2.52,75,2.53,74,2.76,73,2.20,73,2.98,72,2.19,69,2.61
F,80,Toney,7.8,7.7,Brentford,86,5.25,55,4.74,40,1.97,44,2.13,23,1.32,26,1.03,27,1.76,0,0.00,0,0.00
G,81,Raya,4.8,4.8,Brentford,89,3.83,87,6.53,85,3.50,86,3.65,86,3.80,86,3.25,85,4.02,85,3.09,83,3.72
D,82,Canós,5.0,5.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,83,Dasilva,4.1,4.1,Brentford,33,1.77,32,2.80,33,1.58,36,1.67,37,1.92,34,1.46,37,2.07,37,1.55,35,1.81
D,84,Ajer,4.5,4.5,Brentford,42,1.79,44,2.35,44,1.61,44,1.70,42,1.88,44,1.25,42,2.15,43,1.02,42,1.88
